https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZEC
1646870400000,2022-03-10 00:00:00,ZEC/USD,148.34009,169.0,138.937838,166.291456,722064.6314418818,4342.16314422
1646784000000,2022-03-09 00:00:00,ZEC/USD,146.427488,153.419907,143.46708,148.29347,513984.68419573986,3465.99674413
1646697600000,2022-03-08 00:00:00,ZEC/USD,116.357608,149.0,115.832,146.604632,531616.3040887428,3626.19036545
1646611200000,2022-03-07 00:00:00,ZEC/USD,115.792228,121.276423,111.837738,116.423421,330924.249740588,2842.41990914
1646524800000,2022-03-06 00:00:00,ZEC/USD,123.953654,127.374659,115.870434,115.870434,296172.47220820555,2556.06596078
1646438400000,2022-03-05 00:00:00,ZEC/USD,123.896114,126.705766,119.297349,123.998281,355565.6328058284,2867.50453263
1646352000000,2022-03-04 00:00:00,ZEC/USD,135.160081,135.482877,123.0,123.785481,354495.2080110457,2863.78665048
1646265600000,2022-03-03 00:00:00,ZEC/USD,130.997273,136.891,127.235566,135.086963,352072.4024523662,2606.26484328
1646179200000,2022-03-02 00:00:00,ZEC/USD,123.618241,123.618241,120.617629,120.617629,5232.9068617771445,43.38426236
1646092800000,2022-03-01 00:00:00,ZEC/USD,122.655528,125.765424,119.423225,123.547333,377987.7832313631,3059.45724649
1646006400000,2022-02-28 00:00:00,ZEC/USD,105.963089,122.927137,103.413317,122.678793,429853.8921733529,3503.897305
1645920000000,2022-02-27 00:00:00,ZEC/USD,110.978217,113.878998,102.683791,106.028539,269207.81225763797,2539.0127488
1645833600000,2022-02-26 00:00:00,ZEC/USD,109.932351,113.911,108.751308,110.842223,311050.8828029895,2806.24904828
1645747200000,2022-02-25 00:00:00,ZEC/USD,105.685554,113.0,101.585668,109.748968,301262.32134975604,2745.01279456
1645660800000,2022-02-24 00:00:00,ZEC/USD,100.549544,107.299152,87.979303,105.550374,493346.5962405298,4674.03930033
1645574400000,2022-02-23 00:00:00,ZEC/USD,106.096249,109.066192,100.085325,100.30215,282708.44856716413,2818.56818191
1645488000000,2022-02-22 00:00:00,ZEC/USD,103.464282,106.647,98.163556,105.933819,326320.2685305901,3080.41635439
1645401600000,2022-02-21 00:00:00,ZEC/USD,111.276365,118.443997,103.033259,103.311996,357265.918675898,3458.12618581
1645315200000,2022-02-20 00:00:00,ZEC/USD,115.160454,115.160454,107.03,111.12762,336362.19498827495,3026.81003146
1645228800000,2022-02-19 00:00:00,ZEC/USD,111.858009,118.522763,110.165055,115.191529,307598.6144827987,2670.32321867
1645142400000,2022-02-18 00:00:00,ZEC/USD,115.760389,120.469871,110.84,111.883222,314861.7390032544,2814.19978237
1645056000000,2022-02-17 00:00:00,ZEC/USD,127.571643,129.1817,114.524962,116.061087,340799.4531664417,2936.37998726
1644969600000,2022-02-16 00:00:00,ZEC/USD,127.803962,128.224397,122.102462,127.318096,349089.64616541873,2741.86982945
1644883200000,2022-02-15 00:00:00,ZEC/USD,122.949147,132.0,122.3851,127.907462,353932.6135490298,2767.09902624
1644796800000,2022-02-14 00:00:00,ZEC/USD,119.182476,124.281542,115.051797,122.874206,390053.8174738022,3174.4157718
1644710400000,2022-02-13 00:00:00,ZEC/USD,119.838682,121.137341,117.5,119.332147,346035.51403655316,2899.76777202
1644624000000,2022-02-12 00:00:00,ZEC/USD,118.031452,125.449824,115.6203,119.897071,327454.34699247003,2731.12882793
1644537600000,2022-02-11 00:00:00,ZEC/USD,126.8,132.329881,117.0,118.069977,391688.6994068655,3317.42843828
1644451200000,2022-02-10 00:00:00,ZEC/USD,127.339905,129.970358,121.4575,126.83536,417111.54946529143,3288.60618573
1644364800000,2022-02-09 00:00:00,ZEC/USD,134.472034,135.660699,127.30501,127.310599,387418.84245368635,3043.0996751
1644278400000,2022-02-08 00:00:00,ZEC/USD,130.13822,135.74622,123.37,134.186883,427079.6352170395,3182.72267504
1644192000000,2022-02-07 00:00:00,ZEC/USD,125.985816,132.0,122.948227,130.105255,407815.6991464744,3134.50597477
1644105600000,2022-02-06 00:00:00,ZEC/USD,118.183278,127.613501,117.804495,125.893426,357323.07266177656,2838.2981067
1644019200000,2022-02-05 00:00:00,ZEC/USD,108.932814,124.699999,107.995033,117.978973,397548.0662551205,3369.65186377
1643932800000,2022-02-04 00:00:00,ZEC/USD,103.174035,109.204143,101.992179,108.878121,322535.7391005386,2962.35585385
1643846400000,2022-02-03 00:00:00,ZEC/USD,100.703615,104.617118,97.353501,102.834759,279012.60062589846,2713.21295775
1643760000000,2022-02-02 00:00:00,ZEC/USD,101.148689,105.762793,100.03,100.823493,323086.5525253511,3204.47688244
1643673600000,2022-02-01 00:00:00,ZEC/USD,96.424442,101.707966,96.171128,100.992895,265785.6335322217,2631.72605887
1643587200000,2022-01-31 00:00:00,ZEC/USD,95.080355,96.776843,90.404509,96.376832,245308.71440128345,2545.3079263
1643500800000,2022-01-30 00:00:00,ZEC/USD,98.98527,100.486274,93.780802,95.125609,253041.08448441117,2660.07321419
1643414400000,2022-01-29 00:00:00,ZEC/USD,93.845093,99.5792,93.418942,98.907258,277799.6712351004,2808.68843048
1643328000000,2022-01-28 00:00:00,ZEC/USD,91.330473,94.393168,88.945092,94.035931,238460.90190963898,2535.84879071
1643241600000,2022-01-27 00:00:00,ZEC/USD,91.943138,93.7986,85.018208,91.353691,280358.7778545522,3068.93760707
1643155200000,2022-01-26 00:00:00,ZEC/USD,92.73996,102.515671,89.3632,91.981863,270321.8557503959,2938.86041154
1643068800000,2022-01-25 00:00:00,ZEC/USD,97.053504,98.844805,91.201,92.672152,256228.2787269787,2764.889702
1642982400000,2022-01-24 00:00:00,ZEC/USD,100.662816,101.044986,84.3241,97.144934,296667.2352757254,3053.86213218
1642896000000,2022-01-23 00:00:00,ZEC/USD,97.49767,101.879998,93.985911,100.800618,289861.3248652764,2875.59075149
1642809600000,2022-01-22 00:00:00,ZEC/USD,105.462105,107.991999,85.70164,97.657119,352214.6899803495,3606.64633144
1642723200000,2022-01-21 00:00:00,ZEC/USD,121.99,123.025697,104.249724,105.54447,352605.02024661715,3340.81946924
1642636800000,2022-01-20 00:00:00,ZEC/USD,128.227103,134.467142,122,122.103158,361585.0348799152,2961.30780565
1642550400000,2022-01-19 00:00:00,ZEC/USD,133.945132,134.423428,128.0,128.427661,317458.0630773002,2471.88230795
1642464000000,2022-01-18 00:00:00,ZEC/USD,141.003461,142.676675,131.093939,134.10124,351535.1824663622,2621.41634534
1642377600000,2022-01-17 00:00:00,ZEC/USD,143.542308,144.748014,137.258789,140.943732,372071.89442021016,2639.86123498
1642291200000,2022-01-16 00:00:00,ZEC/USD,146.526401,147.903896,142.495878,143.269246,363032.99387519556,2533.92129861
1642204800000,2022-01-15 00:00:00,ZEC/USD,144.504466,148.343299,143.229554,146.44547,368409.78008336475,2515.67890822
1642118400000,2022-01-14 00:00:00,ZEC/USD,145.620237,147.002749,139.284755,144.612228,370615.2809644625,2562.8211811
1642032000000,2022-01-13 00:00:00,ZEC/USD,146.385804,151.793791,142.988,145.257982,382128.90941434924,2630.69129939
1641945600000,2022-01-12 00:00:00,ZEC/USD,143.255105,149.584599,142.698483,146.350872,371640.19509877637,2539.37807148
1641859200000,2022-01-11 00:00:00,ZEC/USD,143.53873,147.634152,140.221,143.245266,390870.1775342442,2728.67780171
1641772800000,2022-01-10 00:00:00,ZEC/USD,146.180461,150.555,138.786012,143.540883,429026.06892828486,2988.87717535
1641686400000,2022-01-09 00:00:00,ZEC/USD,145.944868,148.998842,135.730825,146.084269,410231.6128883801,2808.18472582
1641600000000,2022-01-08 00:00:00,ZEC/USD,141.754228,157.98483,138.6991,146.014091,439120.65040586796,3007.38543382
1641513600000,2022-01-07 00:00:00,ZEC/USD,139.192858,145.0,132.994705,141.53412,385646.3963170508,2724.75920518
1641427200000,2022-01-06 00:00:00,ZEC/USD,137.952431,140.391758,131.600118,139.089732,369040.4634861238,2653.25454424
1641340800000,2022-01-05 00:00:00,ZEC/USD,148.685714,152.332952,129.000001,138.294925,409292.020185941,2959.55921872
1641254400000,2022-01-04 00:00:00,ZEC/USD,151.569896,157.236729,148.497348,148.57749,374966.98092248774,2523.7132551
1641168000000,2022-01-03 00:00:00,ZEC/USD,154.202565,155.323994,148.018001,151.582356,380685.1918395586,2511.40833198
1641081600000,2022-01-02 00:00:00,ZEC/USD,151.631904,156.171722,148.665704,154.398178,389761.3142506912,2524.39063271
