https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WAVES
1653782400000,2022-05-29 00:00:00,WAVES/USD,4.726085,4.768092,4.242618,4.723906,372501.8935001947,78854.63713719
1653696000000,2022-05-28 00:00:00,WAVES/USD,4.774726,4.931567,4.601593,4.718119,342527.66417267994,72598.35204934
1653609600000,2022-05-27 00:00:00,WAVES/USD,5.337635,5.367489,4.440004,4.780518,468630.50291975983,98029.23091593
1653523200000,2022-05-26 00:00:00,WAVES/USD,6.002406,6.100849,5.248573,5.322427,439487.8372630575,82572.82575469
1653436800000,2022-05-25 00:00:00,WAVES/USD,6.204973,6.47062,5.830002,6.00139,437889.34489624633,72964.65400453
1653350400000,2022-05-24 00:00:00,WAVES/USD,6.252223,6.370919,5.810459,6.202267,426135.9379705111,68706.48070625
1653264000000,2022-05-23 00:00:00,WAVES/USD,6.504898,7.48567,6.135001,6.266462,524002.07235657115,83620.08296812
1653177600000,2022-05-22 00:00:00,WAVES/USD,6.395406,6.555554,6.274285,6.521667,455823.8517133979,69893.76362108
1653091200000,2022-05-21 00:00:00,WAVES/USD,6.358056,6.467624,6.01608,6.379684,452044.568654039,70856.890193
1653004800000,2022-05-20 00:00:00,WAVES/USD,6.903158,7.00615,6.185987,6.363542,461314.83793010894,72493.40664839
1652918400000,2022-05-19 00:00:00,WAVES/USD,6.873354,6.988049,6.389979,6.895447,578256.7165821973,83860.65712378
1652832000000,2022-05-18 00:00:00,WAVES/USD,7.583135,8.14993,6.8,6.841356,607189.314549982,88752.77277633
1652745600000,2022-05-17 00:00:00,WAVES/USD,7.133701,7.877059,7.075121,7.602663,556979.795004624,73261.14481263
1652659200000,2022-05-16 00:00:00,WAVES/USD,7.96,7.96,7.020001,7.133638,530548.372073919,74372.76352878
1652572800000,2022-05-15 00:00:00,WAVES/USD,7.864119,8.011979,7.33,8.006344,624103.0551481697,77951.06669763
1652486400000,2022-05-14 00:00:00,WAVES/USD,7.770316,8.251521,6.95504,7.873519,642214.1413085023,81566.34172198
