https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTG
1655769600000,2022-06-21 00:00:00,BTG/USD,18.359194,18.473183,18.030501,18.449244,3679.4600934310297,199.4369034
1655683200000,2022-06-20 00:00:00,BTG/USD,17.497599,19.03,17.140208,18.270234,72343.71988482578,3959.64933371
1655596800000,2022-06-19 00:00:00,BTG/USD,16.809332,18.0387,15.9799,17.573819,70324.69353738085,4001.67394107
1655510400000,2022-06-18 00:00:00,BTG/USD,17.267073,17.762,15.1,16.846358,67729.96684050193,4020.451592
1655424000000,2022-06-17 00:00:00,BTG/USD,16.580796,17.594746,16.4504,17.306714,69068.92172265192,3990.8743926
1655337600000,2022-06-16 00:00:00,BTG/USD,18.152856,19.233566,15.500001,16.557938,61069.04508423732,3688.20351207
1655251200000,2022-06-15 00:00:00,BTG/USD,17.127032,18.236514,15.1,18.082314,75785.41736423041,4191.13490476
1655164800000,2022-06-14 00:00:00,BTG/USD,16.245384,23.29964,15.0,17.097592,66793.096562949,3906.57915822
1655078400000,2022-06-13 00:00:00,BTG/USD,19.021004,19.4,16.0,16.155928,61490.436864355506,3806.06034295
1654992000000,2022-06-12 00:00:00,BTG/USD,20.628021,21.128958,18.941251,18.957313,74493.64977072272,3929.54685987
1654905600000,2022-06-11 00:00:00,BTG/USD,22.364109,23.088776,20.0,20.709161,81014.85099919347,3912.0296085
1654819200000,2022-06-10 00:00:00,BTG/USD,22.795377,24.249816,22.034116,22.295959,86517.98774661448,3880.43356855
1654732800000,2022-06-09 00:00:00,BTG/USD,22.897014,23.463105,22.274505,22.668952,85802.0034624973,3785.00088855
1654646400000,2022-06-08 00:00:00,BTG/USD,23.157671,23.949414,22.001209,22.843148,84087.85573207839,3681.09753227
1654560000000,2022-06-07 00:00:00,BTG/USD,23.47419,23.81,22.001204,22.958766,89764.94204235908,3909.83304775
1654473600000,2022-06-06 00:00:00,BTG/USD,23.388283,26.48,22.910001,23.351725,93532.07698117588,4005.36050254
1654387200000,2022-06-05 00:00:00,BTG/USD,22.904634,26.0,22.761834,23.365888,92824.70210530201,3972.65886515
1654300800000,2022-06-04 00:00:00,BTG/USD,22.942697,24.09289,22.51,22.829063,85975.11926394852,3766.03802197
1654214400000,2022-06-03 00:00:00,BTG/USD,22.932455,24.32969,22.562401,23.005686,87209.17674753636,3790.76619352
1654128000000,2022-06-02 00:00:00,BTG/USD,22.704036,23.3896,22.500005,23.0288,90044.37539960397,3910.07674736
1654041600000,2022-06-01 00:00:00,BTG/USD,24.245914,25.0,22.5,22.714901,87948.2986487846,3871.83279596
