https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BCH
1653436800000,2022-05-25 00:00:00,BCH/USD,215.2634,220.8112,208.0843,208.7586,277611.72522638604,1329.82174256
1653350400000,2022-05-24 00:00:00,BCH/USD,211.6676,216.3886,202.7669,215.247,255461.92243548192,1186.83151187
1653264000000,2022-05-23 00:00:00,BCH/USD,217.9066,227.8986,209.1952,211.7939,287228.7494393727,1356.17102022
1653177600000,2022-05-22 00:00:00,BCH/USD,212.2504,222.8289,210.4695,218.1682,282977.18709055457,1297.05973231
1653091200000,2022-05-21 00:00:00,BCH/USD,209.7015,215.5175,206.3223,212.1224,274742.22396814136,1295.20608841
1653004800000,2022-05-20 00:00:00,BCH/USD,216.554,220.3639,206.4594,209.7974,276985.6927906313,1320.25321949
1652918400000,2022-05-19 00:00:00,BCH/USD,207.7829,218.7141,200.7668,216.5783,288078.22725679254,1330.13430827
1652832000000,2022-05-18 00:00:00,BCH/USD,228.2926,230.7626,207.7004,207.7326,296165.6137627429,1425.70599782
1652745600000,2022-05-17 00:00:00,BCH/USD,217.7916,240.0,215.8337,228.4151,338026.02947507106,1479.87602166
1652659200000,2022-05-16 00:00:00,BCH/USD,236.5481,236.5481,215.8807,217.7935,294039.7080410216,1350.08486498
1652572800000,2022-05-15 00:00:00,BCH/USD,231.884,237.6141,224.021,236.5568,320130.0342954858,1353.29034843
1652486400000,2022-05-14 00:00:00,BCH/USD,223.8741,261.3216,206.8489,231.4104,321903.65850934264,1391.05095756
1652400000000,2022-05-13 00:00:00,BCH/USD,215.3744,244.3911,213.1545,223.5123,324611.3756750724,1452.31996483
1652313600000,2022-05-12 00:00:00,BCH/USD,220.428,254.9992,180.1722,215.1161,346040.927512732,1608.62402913
1652227200000,2022-05-11 00:00:00,BCH/USD,256.8652,278.4216,208.4783,220.1636,341930.5561153704,1553.07487757
1652140800000,2022-05-10 00:00:00,BCH/USD,245.5498,271.758,236.1,257.1737,368703.28013060964,1433.67412815
1652054400000,2022-05-09 00:00:00,BCH/USD,289.6934,294.1485,240.9227,243.4095,345248.9668642279,1418.38739599
1651968000000,2022-05-08 00:00:00,BCH/USD,294.4935,296.7834,288.6892,289.7156,387699.2831660136,1338.2064451
1651881600000,2022-05-07 00:00:00,BCH/USD,299.0426,302.5865,290.0004,294.4771,390188.06745220785,1325.02006931
1651795200000,2022-05-06 00:00:00,BCH/USD,301.6768,302.1396,290.0,298.9448,396158.9994002798,1325.19113696
1651708800000,2022-05-05 00:00:00,BCH/USD,318.4783,320.9646,293.0366,301.6008,402634.49563471274,1334.99147096
1651622400000,2022-05-04 00:00:00,BCH/USD,298.6781,318.4638,298.2089,318.2937,416339.1484194428,1308.03452415
1651536000000,2022-05-03 00:00:00,BCH/USD,303.4868,308.3405,295.9468,298.771,357301.87071848474,1195.90546177
1651449600000,2022-05-02 00:00:00,BCH/USD,300.783,305.9147,298.4039,303.3512,404393.32265053067,1333.0862797
1651363200000,2022-05-01 00:00:00,BCH/USD,295.0075,303.5864,289.4637,300.7949,385067.0147097597,1280.16470595
1651276800000,2022-04-30 00:00:00,BCH/USD,314.4611,316.8881,289.0,295.0719,398738.8588131729,1351.327791
1651190400000,2022-04-29 00:00:00,BCH/USD,324.1631,327.8971,312.3347,314.5889,395139.286695231,1256.04967847
1651104000000,2022-04-28 00:00:00,BCH/USD,339.3339,345.0,320.2627,324.1045,457368.7543907166,1411.17680992
1651017600000,2022-04-27 00:00:00,BCH/USD,328.3004,342.1941,326.5802,339.1128,451204.963245007,1330.54536203
1650931200000,2022-04-26 00:00:00,BCH/USD,345.1414,351.9018,321.87,328.4556,446157.4773786173,1358.34943103
1650844800000,2022-04-25 00:00:00,BCH/USD,339.4448,345.5367,332.6989,345.0463,472806.6127614844,1370.27005582
1650758400000,2022-04-24 00:00:00,BCH/USD,344.4302,345.5385,344.2747,344.7174,20229.452673108608,58.68416469
1650672000000,2022-04-23 00:00:00,BCH/USD,351.0426,353.4594,343.46,344.4091,443690.18500626495,1288.26498779
1650585600000,2022-04-22 00:00:00,BCH/USD,343.1733,362.78,342.2337,351.0436,471071.95503881347,1341.91865352
1650499200000,2022-04-21 00:00:00,BCH/USD,359.8227,364.2508,359.5153,362.6615,23454.450273686198,64.6731188
1650412800000,2022-04-20 00:00:00,BCH/USD,369.7054,373.5494,358.5322,359.4608,482539.958016261,1342.39938824
1650326400000,2022-04-19 00:00:00,BCH/USD,370.2591,372.8438,362.9379,369.7133,494126.69828608254,1336.51318004
1650240000000,2022-04-18 00:00:00,BCH/USD,355.9878,371.8592,342.1706,370.3048,533601.4721639458,1440.97908578
1650153600000,2022-04-17 00:00:00,BCH/USD,371.3629,377.2303,355.595,355.8181,476388.01983754366,1338.8526886
1650067200000,2022-04-16 00:00:00,BCH/USD,368.1074,375.0038,367.2521,371.4228,484746.60383335664,1305.10728968
1649980800000,2022-04-15 00:00:00,BCH/USD,364.8444,372.3122,360.8445,367.7126,397560.409517777,1081.17157127
1649894400000,2022-04-14 00:00:00,BCH/USD,368.3768,384.0235,360.0001,364.8181,403308.6213801213,1105.50606283
1649808000000,2022-04-13 00:00:00,BCH/USD,329.6733,376.0405,326.1651,368.5102,393895.5640731675,1068.8864625
1649721600000,2022-04-12 00:00:00,BCH/USD,316.5223,330.9529,315.622,329.5385,303141.7437093372,919.89780772
1649635200000,2022-04-11 00:00:00,BCH/USD,343.2946,343.7514,312.4873,316.407,306302.5960163769,968.06516928
1649548800000,2022-04-10 00:00:00,BCH/USD,348.177,348.5352,347.6241,348.0425,12435.529136291301,35.72991556
1649462400000,2022-04-09 00:00:00,BCH/USD,345.3198,349.3604,344.0882,348.083,318150.4631059108,914.00747266
1649376000000,2022-04-08 00:00:00,BCH/USD,357.1199,360.5491,343.0959,345.1311,371198.7672118992,1075.52975438
1649289600000,2022-04-07 00:00:00,BCH/USD,349.9658,359.4667,344.9183,357.1199,330210.01571784395,924.64748035
1649203200000,2022-04-06 00:00:00,BCH/USD,379.7089,381.5673,348.2501,350.1566,413985.4057185363,1182.28645617
1649116800000,2022-04-05 00:00:00,BCH/USD,389.124,394.9999,379.248,379.621,324158.7871674119,853.9010939
1649030400000,2022-04-04 00:00:00,BCH/USD,390.0963,391.1742,375.4086,389.1647,356178.1295718792,915.23750631
1648944000000,2022-04-03 00:00:00,BCH/USD,384.3129,392.0,380.368,390.0424,364224.9829980005,933.80869105
1648857600000,2022-04-02 00:00:00,BCH/USD,388.7692,394.5472,383.1365,384.2439,382777.0320203882,996.18245604
1648771200000,2022-04-01 00:00:00,BCH/USD,394.603,398.7653,374.2807,388.7713,388244.2226335629,998.64424826
1648684800000,2022-03-31 00:00:00,BCH/USD,386.5045,399.8765,371.6028,394.0169,401282.13726782927,1018.43889759
1648598400000,2022-03-30 00:00:00,BCH/USD,380.2081,393.2721,370.7123,386.8811,380625.2947112854,983.83016051
1648512000000,2022-03-29 00:00:00,BCH/USD,376.1494,394.1683,374.3842,380.6049,375402.928232155,986.33235734
1648425600000,2022-03-28 00:00:00,BCH/USD,388.5164,396.1256,372.0261,375.4702,399530.4516215353,1064.08032281
1648339200000,2022-03-27 00:00:00,BCH/USD,375.2667,388.6344,368.1,388.5711,403669.3344426998,1038.85578326
1648252800000,2022-03-26 00:00:00,BCH/USD,378.0649,379.541,370.1749,375.1696,348912.6322545282,930.0130721
1648166400000,2022-03-25 00:00:00,BCH/USD,379.0211,387.1509,366.774,378.0211,391314.2885080915,1035.16520244
1648080000000,2022-03-24 00:00:00,BCH/USD,378.7692,382.1032,363.6429,379.1313,375836.1511960205,991.30868698
1647993600000,2022-03-23 00:00:00,BCH/USD,390.8284,398.6531,367.8824,378.8613,386028.7793130687,1018.91847838
1647907200000,2022-03-22 00:00:00,BCH/USD,348.3948,400.0,347.504,390.6183,428651.56422038784,1097.36682644
1647820800000,2022-03-21 00:00:00,BCH/USD,338.6103,353.9993,331.7743,348.3038,351803.2126393636,1010.04701252
1647734400000,2022-03-20 00:00:00,BCH/USD,339.6078,344.3113,327.2408,338.4546,321874.4076113735,951.01206369
1647648000000,2022-03-19 00:00:00,BCH/USD,318.7214,339.6755,318.7214,339.5013,325196.36842297536,957.86486951
1647561600000,2022-03-18 00:00:00,BCH/USD,311.586,319.3179,305.6653,318.8307,299340.88309089094,938.8709528
1647475200000,2022-03-17 00:00:00,BCH/USD,315.3919,316.2081,310.1407,311.5882,294243.0305138693,944.3330348
1647388800000,2022-03-16 00:00:00,BCH/USD,306.0222,317.6755,303.001,315.4212,296004.06635351287,938.44061957
1647302400000,2022-03-15 00:00:00,BCH/USD,306.324,308.9547,299.1511,305.9364,293989.6122370626,960.95009367
1647216000000,2022-03-14 00:00:00,BCH/USD,296.1216,306.5982,294.1094,306.3808,277380.77287273266,905.34646059
1647129600000,2022-03-13 00:00:00,BCH/USD,307.8012,312.7988,295.8423,296.1725,272728.9774790841,920.84503956
1647043200000,2022-03-12 00:00:00,BCH/USD,304.929,310.8189,304.8047,308.0966,285676.4219223271,927.23003734
1646956800000,2022-03-11 00:00:00,BCH/USD,306.3835,311.9211,298.3083,304.927,293471.37020191376,962.43156625
1646870400000,2022-03-10 00:00:00,BCH/USD,321.6661,323.4286,299.0883,306.2725,284399.6706912401,928.58376345
1646784000000,2022-03-09 00:00:00,BCH/USD,301.5141,332.9336,300.7113,321.7363,307817.249724405,956.73770639
1646697600000,2022-03-08 00:00:00,BCH/USD,290.8501,306.386,289.5603,301.5203,287677.9338452351,954.09142882
1646611200000,2022-03-07 00:00:00,BCH/USD,303.5117,310.4681,287.4212,290.8512,304815.32071487454,1048.01121919
1646524800000,2022-03-06 00:00:00,BCH/USD,313.574,315.5642,303.4451,303.4519,288359.9849522535,950.26587394
1646438400000,2022-03-05 00:00:00,BCH/USD,307.2061,314.2179,300.4081,313.4696,284037.9935646082,906.11017325
1646352000000,2022-03-04 00:00:00,BCH/USD,330.3989,330.4198,303.059,307.2131,298087.9326796877,970.29694593
1646265600000,2022-03-03 00:00:00,BCH/USD,333.813,335.0287,319.9728,330.5117,322476.93232747016,975.68991454
1646179200000,2022-03-02 00:00:00,BCH/USD,340.8186,340.8186,337.2777,337.2777,5880.705874086816,17.43579808
1646092800000,2022-03-01 00:00:00,BCH/USD,349.487,354.9999,332.0877,341.3751,323870.4574964604,948.72314207
1646006400000,2022-02-28 00:00:00,BCH/USD,314.5669,349.262,311.2223,349.262,344994.10802254063,987.78025672
1645920000000,2022-02-27 00:00:00,BCH/USD,324.2553,330.1247,310.2834,314.5205,301116.04277314903,957.38129239
1645833600000,2022-02-26 00:00:00,BCH/USD,318.0692,332.7251,316.9198,323.8667,319357.56616688636,986.07719215
1645747200000,2022-02-25 00:00:00,BCH/USD,309.7196,320.6143,299.5411,317.7082,299987.93861399463,944.22472764
1645660800000,2022-02-24 00:00:00,BCH/USD,297.7089,319.9928,268.6732,309.7004,310173.7787523642,1001.52850546
1645574400000,2022-02-23 00:00:00,BCH/USD,302.3492,314.2179,296.2451,297.7053,281403.54789237684,945.24198223
1645488000000,2022-02-22 00:00:00,BCH/USD,292.0128,304.5852,285.498,302.4291,282500.6922267129,934.10552168
1645401600000,2022-02-21 00:00:00,BCH/USD,312.0664,319.896,291.7087,292.152,304057.69322057307,1040.75170877
1645315200000,2022-02-20 00:00:00,BCH/USD,320.306,320.6328,305.5482,311.8757,291000.2604247611,933.06487304
1645228800000,2022-02-19 00:00:00,BCH/USD,318.0901,323.8911,314.3967,320.2215,300102.81636814075,937.17260199
1645142400000,2022-02-18 00:00:00,BCH/USD,319.3367,326.0018,314.7548,318.1698,296821.7069216127,932.90345885
1645056000000,2022-02-17 00:00:00,BCH/USD,339.7883,341.3243,316.5439,319.4003,306976.7782669001,961.1036003
1644969600000,2022-02-16 00:00:00,BCH/USD,348.5754,348.767,335.6032,339.6805,313831.6884132888,923.90257437
1644883200000,2022-02-15 00:00:00,BCH/USD,337.3938,349.6595,335.6197,348.5771,331626.5712424194,951.37222509
1644796800000,2022-02-14 00:00:00,BCH/USD,340.4096,343.3032,325.1302,337.4042,325077.9134409503,963.46729958
1644710400000,2022-02-13 00:00:00,BCH/USD,336.2132,345.8198,331.3198,340.4213,333110.99869348307,978.52572296
1644624000000,2022-02-12 00:00:00,BCH/USD,325.337,336.6927,318.4021,336.0886,321792.8223170168,957.46425888
1644537600000,2022-02-11 00:00:00,BCH/USD,344.5465,345.9247,322.2535,325.2293,331218.7646718293,1018.41612878
1644451200000,2022-02-10 00:00:00,BCH/USD,348.8154,367.0,340.0,344.975,333927.6685494282,967.97642887
1644364800000,2022-02-09 00:00:00,BCH/USD,338.9269,350.5157,331.6381,348.7089,332606.02264903445,953.82143286
1644278400000,2022-02-08 00:00:00,BCH/USD,346.7748,359.406,327.683,338.8054,355641.81678370683,1049.69347237
1644192000000,2022-02-07 00:00:00,BCH/USD,329.2615,346.9474,323.0,346.5275,329089.9229599316,949.67909606
1644105600000,2022-02-06 00:00:00,BCH/USD,325.8772,332.4638,318.0,329.2235,318625.1590340385,967.80806666
1644019200000,2022-02-05 00:00:00,BCH/USD,311.3605,334.9998,308.5559,325.7374,311372.52224176086,955.90043465
1643932800000,2022-02-04 00:00:00,BCH/USD,287.3038,311.4318,282.9135,311.4074,314595.16313649307,1010.23663258
1643846400000,2022-02-03 00:00:00,BCH/USD,284.5369,287.3448,278.7397,287.3448,277480.267164858,965.67004924
1643760000000,2022-02-02 00:00:00,BCH/USD,294.2422,302.4998,283.8353,284.807,288485.74526194413,1012.91662516
1643673600000,2022-02-01 00:00:00,BCH/USD,291.2915,297.0961,288.8686,294.1494,283514.24852946104,963.84438836
1643587200000,2022-01-31 00:00:00,BCH/USD,296.8185,297.1086,285.4596,291.4366,292395.3736814616,1003.28981906
1643500800000,2022-01-30 00:00:00,BCH/USD,306.5621,309.7966,295.2235,296.8307,277904.65859030886,936.23960928
1643414400000,2022-01-29 00:00:00,BCH/USD,305.0774,310.2022,300.8856,306.8846,291268.1040696953,949.1128068
1643328000000,2022-01-28 00:00:00,BCH/USD,297.9179,305.401,291.6132,305.2443,292415.37374936114,957.97161077
1643241600000,2022-01-27 00:00:00,BCH/USD,297.5933,302.9603,286.8845,297.8324,288260.21838875953,967.86050943
1643155200000,2022-01-26 00:00:00,BCH/USD,299.8227,324.3126,292.4423,297.762,297736.805315013,999.9153865
1643068800000,2022-01-25 00:00:00,BCH/USD,300.7277,302.262,292.4784,299.7149,283126.38813366793,944.65236174
1642982400000,2022-01-24 00:00:00,BCH/USD,312.6682,312.6682,267.538,300.6986,328365.53446043737,1092.00885691
1642896000000,2022-01-23 00:00:00,BCH/USD,301.4656,313.225,294.2298,312.8589,312706.8273792412,999.51392586
1642809600000,2022-01-22 00:00:00,BCH/USD,325.5752,329.1084,274.1598,301.2732,388304.13154131774,1288.87711068
1642723200000,2022-01-21 00:00:00,BCH/USD,365.7753,368.045,310.2,325.5752,357692.9929028866,1098.64938393
1642636800000,2022-01-20 00:00:00,BCH/USD,376.7479,391.2076,365.0552,365.6805,344211.196888938,941.28945046
1642550400000,2022-01-19 00:00:00,BCH/USD,387.982,390.5076,373.2336,376.9489,336999.3323276929,894.01861188
1642464000000,2022-01-18 00:00:00,BCH/USD,386.7245,403.202,381.2016,388.405,363734.21865594597,936.4818132
1642377600000,2022-01-17 00:00:00,BCH/USD,393.6959,394.2504,379.6515,386.5985,367631.42219872895,950.93856339
1642291200000,2022-01-16 00:00:00,BCH/USD,396.7609,399.1524,388.688,393.6365,381024.8068886729,967.96106786
1642204800000,2022-01-15 00:00:00,BCH/USD,390.9742,399.0697,389.3042,396.575,381256.9227104753,961.37407227
1642118400000,2022-01-14 00:00:00,BCH/USD,383.3315,398.9247,382.5241,391.0239,379044.71182092803,969.36456268
1642032000000,2022-01-13 00:00:00,BCH/USD,389.3387,396.8925,382.2355,382.8351,369404.70432791306,964.91858852
1641945600000,2022-01-12 00:00:00,BCH/USD,374.8019,391.6907,373.5145,389.3393,404462.47388682707,1038.84317326
1641859200000,2022-01-11 00:00:00,BCH/USD,369.7075,379.6642,367.971,374.7315,357211.86881016137,953.24750871
1641772800000,2022-01-10 00:00:00,BCH/USD,382.3377,383.4882,354.3474,369.7024,373105.70271894324,1009.20551968
1641686400000,2022-01-09 00:00:00,BCH/USD,379.3899,386.5045,374.1317,382.6168,365788.6211696911,956.01819149
1641600000000,2022-01-08 00:00:00,BCH/USD,391.2062,397.3369,367.0013,379.4591,368681.0115519141,971.59617875
1641513600000,2022-01-07 00:00:00,BCH/USD,405.5377,405.8769,381.001,391.2193,375612.14876894705,960.10638731
1641427200000,2022-01-06 00:00:00,BCH/USD,403.7138,406.8152,392.37,405.3714,381744.3454265611,941.71504311
1641340800000,2022-01-05 00:00:00,BCH/USD,430.3741,435.1324,396.0,403.7139,410972.3298826678,1017.97914286
1641254400000,2022-01-04 00:00:00,BCH/USD,437.9684,441.841,428.6892,430.4366,397023.6787839476,922.37434917
1641168000000,2022-01-03 00:00:00,BCH/USD,451.2755,451.2755,434.6707,437.9141,408935.586972931,933.8260334
1641081600000,2022-01-02 00:00:00,BCH/USD,448.4005,455.0538,446.493,451.2915,420902.9390919043,932.66312149
1640995200000,2022-01-01 00:00:00,BCH/USD,433.8002,448.8657,433.7517,447.8305,420628.9649625493,939.25930673
1640908800000,2021-12-31 00:00:00,BCH/USD,433.6171,439.9782,423.0,433.7846,430682.78185200057,992.84940464
1640822400000,2021-12-30 00:00:00,BCH/USD,432.7049,439.3101,427.3854,433.7027,403736.19310545485,930.90541771
1640736000000,2021-12-29 00:00:00,BCH/USD,447.3578,453.7965,430.9318,432.6849,415013.43248878024,959.15857588
1640649600000,2021-12-28 00:00:00,BCH/USD,469.3747,469.3747,446.0255,447.8471,433929.62305145414,968.92359703
1640563200000,2021-12-27 00:00:00,BCH/USD,455.4442,479.2222,451.832,469.1598,450373.76450437075,959.95813048
1640476800000,2021-12-26 00:00:00,BCH/USD,457.3756,458.3087,446.2733,455.1405,406919.4148078723,894.0523087
1640390400000,2021-12-25 00:00:00,BCH/USD,453.0778,462.028,449.169,457.5298,424400.2351549155,927.59036713
1640304000000,2021-12-24 00:00:00,BCH/USD,455.5096,462.0,450.5752,452.9663,410188.01126931084,905.55966585
1640217600000,2021-12-23 00:00:00,BCH/USD,439.8358,458.0,436.0324,455.1462,438739.3389658416,963.95254748
1640131200000,2021-12-22 00:00:00,BCH/USD,439.6963,447.6272,436.2003,439.8329,455650.70224827476,1035.96320841
1640044800000,2021-12-21 00:00:00,BCH/USD,433.1357,441.8896,429.0001,439.5905,416579.6944649384,947.65399722
1639958400000,2021-12-20 00:00:00,BCH/USD,434.3864,440.9934,421.869,432.6915,405136.66498578805,936.31759576
1639872000000,2021-12-19 00:00:00,BCH/USD,436.773,445.7726,433.9125,434.582,410305.20998593094,944.13760806
1639785600000,2021-12-18 00:00:00,BCH/USD,426.963,439.9326,421.6347,436.6403,412012.45767184347,943.59695537
1639699200000,2021-12-17 00:00:00,BCH/USD,444.402,446.952,421.0,426.7308,404970.18414407794,949.00622159
1639612800000,2021-12-16 00:00:00,BCH/USD,451.9593,460.2039,443.5416,444.2882,399661.6224794386,899.5548891
1639526400000,2021-12-15 00:00:00,BCH/USD,463.2236,479.0,448.0,451.8762,495831.78609290486,1097.2735145
1639440000000,2021-12-14 00:00:00,BCH/USD,450.6324,470.1748,447.1528,463.2699,462484.76345542807,998.30522867
1639353600000,2021-12-13 00:00:00,BCH/USD,484.2166,487.316,444.6952,450.5211,440518.5529580666,977.7978278
1639267200000,2021-12-12 00:00:00,BCH/USD,488.0504,490.472,471.0595,484.2815,461027.7592969931,951.98300843
1639180800000,2021-12-11 00:00:00,BCH/USD,467.2028,490.0,461.7501,487.7702,454727.3400034328,932.25732118
1639094400000,2021-12-10 00:00:00,BCH/USD,474.5191,495.25,466.5176,467.0098,467081.29721558833,1000.15309575
1639008000000,2021-12-09 00:00:00,BCH/USD,505.1435,507.0001,473.6623,474.896,476655.9018659832,1003.70586795
1638921600000,2021-12-08 00:00:00,BCH/USD,500.9236,514.1857,490.2819,505.1686,502087.4201619026,993.90069011
1638835200000,2021-12-07 00:00:00,BCH/USD,501.346,528.9999,490.0,500.7472,533127.1841091587,1064.66333533
1638748800000,2021-12-06 00:00:00,BCH/USD,480.9475,507.7738,447.1335,501.7111,518886.41261298093,1034.23347144
1638662400000,2021-12-05 00:00:00,BCH/USD,502.3122,505.5891,465.8877,480.5527,473291.5359010761,984.88997336
1638576000000,2021-12-04 00:00:00,BCH/USD,558.7584,559.4239,375.0001,502.565,649994.6458592674,1293.35438373
1638489600000,2021-12-03 00:00:00,BCH/USD,579.9975,584.1284,543.9327,558.7435,537084.6397110522,961.23648814
1638403200000,2021-12-02 00:00:00,BCH/USD,585.0637,590.5898,575.3231,579.8795,533973.4701685224,920.83522554
1638316800000,2021-12-01 00:00:00,BCH/USD,584.9218,596.466,579.6749,584.9692,551833.8671430697,943.35542306
1638230400000,2021-11-30 00:00:00,BCH/USD,592.7557,600.4512,574.403,584.7465,570510.2127969553,975.65391635
1638144000000,2021-11-29 00:00:00,BCH/USD,595.4248,602.0584,580.532,592.5349,575896.2843153928,971.91960223
1638057600000,2021-11-28 00:00:00,BCH/USD,590.5255,595.0494,562.4774,594.7112,557757.3062323565,937.86245531
1637971200000,2021-11-27 00:00:00,BCH/USD,583.5118,599.4217,581.5612,590.4385,556451.0495492801,942.43693382
1637884800000,2021-11-26 00:00:00,BCH/USD,633.7955,634.5564,562.5219,583.1243,615914.1349956366,1056.23129579
1637798400000,2021-11-25 00:00:00,BCH/USD,638.4025,653.8727,628.0468,632.9729,623976.9593794257,985.78779499
1637712000000,2021-11-24 00:00:00,BCH/USD,589.8499,638.3765,577.452,638.3765,668080.7773424927,1046.53096933
1637625600000,2021-11-23 00:00:00,BCH/USD,577.64,593.41,568.8419,589.7369,557664.668104023,945.61603336
1637539200000,2021-11-22 00:00:00,BCH/USD,595.2083,596.4755,567.4098,577.7528,545034.4489459672,943.36963654
1637452800000,2021-11-21 00:00:00,BCH/USD,601.7547,603.073,588.777,595.4306,562998.2619063492,945.53128762
1637366400000,2021-11-20 00:00:00,BCH/USD,592.8857,606.2423,585.3789,602.1212,601800.8509772246,999.46796588
1637280000000,2021-11-19 00:00:00,BCH/USD,576.3833,596.841,572.9411,593.1134,557678.6809221455,940.25641795
1637193600000,2021-11-18 00:00:00,BCH/USD,613.5806,618.7098,566.1082,577.4426,558655.2000442396,967.46447187
1637107200000,2021-11-17 00:00:00,BCH/USD,618.6781,622.3991,598.903,613.5321,585368.7770728802,954.09641496
1637020800000,2021-11-16 00:00:00,BCH/USD,680.8863,680.8863,590.0645,617.9888,684859.8723853263,1108.20757979
1636934400000,2021-11-15 00:00:00,BCH/USD,691.0,698.1651,676.2045,681.0492,694815.5207914545,1020.21340131
1636848000000,2021-11-14 00:00:00,BCH/USD,673.9279,691.0,672.3191,691.0,679694.42045327,983.63881397
1636761600000,2021-11-13 00:00:00,BCH/USD,676.8603,678.8582,665.8048,673.7979,640393.4246786735,950.42359835
1636675200000,2021-11-12 00:00:00,BCH/USD,682.8805,689.6273,658.0001,676.8683,684358.3365060994,1011.0657221
1636588800000,2021-11-11 00:00:00,BCH/USD,669.7658,687.2223,663.3793,682.9576,652529.631758117,955.44676823
1636502400000,2021-11-10 00:00:00,BCH/USD,717.2075,729.0001,652.5632,670.6437,859319.2684163497,1281.33503441
1636416000000,2021-11-09 00:00:00,BCH/USD,638.3397,729.9898,636.9011,717.3443,916284.3802291706,1277.32858577
1636329600000,2021-11-08 00:00:00,BCH/USD,602.8103,641.0,602.5177,638.267,751935.1188881902,1178.08866648
1636243200000,2021-11-07 00:00:00,BCH/USD,593.4784,602.4457,591.7299,602.4457,565726.7650325674,939.05021653
1636156800000,2021-11-06 00:00:00,BCH/USD,603.7068,605.9646,585.3361,593.5757,584334.812594531,984.43183
1636070400000,2021-11-05 00:00:00,BCH/USD,600.3176,637.8675,596.9961,603.7206,658796.6337330244,1091.22768667
1635984000000,2021-11-04 00:00:00,BCH/USD,611.7069,613.2491,590.7,600.3673,582218.1157475834,969.76986546
1635897600000,2021-11-03 00:00:00,BCH/USD,598.0747,618.2894,591.6098,611.456,657246.2417961152,1074.88722295
1635811200000,2021-11-02 00:00:00,BCH/USD,590.0164,607.9999,585.3081,597.7609,582585.2827145449,974.61256284
