https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XEM
1647388800000,2022-03-16 00:00:00,XEM/USD,0.09978834,0.1042,0.09771022,0.10387393,49443.3339008879,475993.6771516
1647302400000,2022-03-15 00:00:00,XEM/USD,0.10027908,0.10075224,0.0963686,0.09969818,36493.98979454454,366044.694041
1647216000000,2022-03-14 00:00:00,XEM/USD,0.09677816,0.10065481,0.09576389,0.10033533,37520.24162241871,373948.45487047
1647129600000,2022-03-13 00:00:00,XEM/USD,0.09910343,0.10040458,0.09646356,0.0969116,37861.57451196465,390681.55424082
1647043200000,2022-03-12 00:00:00,XEM/USD,0.09901428,0.100953,0.0987676,0.09911979,36562.62450172045,368873.10295674
1646956800000,2022-03-11 00:00:00,XEM/USD,0.10215631,0.10216984,0.09846889,0.09902553,36433.42093759535,367919.47427694
1646870400000,2022-03-10 00:00:00,XEM/USD,0.10551929,0.10614609,0.09934992,0.10214696,37251.784739567156,364688.13892814
1646784000000,2022-03-09 00:00:00,XEM/USD,0.10068693,0.10658499,0.10055058,0.10546999,40031.98371396305,379558.04977286
1646697600000,2022-03-08 00:00:00,XEM/USD,0.09901508,0.10173049,0.0985679,0.10066972,40348.83046507742,400804.03983519
1646611200000,2022-03-07 00:00:00,XEM/USD,0.10253134,0.10503825,0.09817041,0.09927498,36336.971665252,366023.45994179
1646524800000,2022-03-06 00:00:00,XEM/USD,0.10410402,0.10536549,0.10197455,0.10261098,39455.53640202125,384515.73508041
1646438400000,2022-03-05 00:00:00,XEM/USD,0.10165701,0.10460171,0.09979079,0.10427792,39664.68041238058,380374.67962902
1646352000000,2022-03-04 00:00:00,XEM/USD,0.10796008,0.10811602,0.10035218,0.10156762,36732.03690550787,361651.05478998
1646265600000,2022-03-03 00:00:00,XEM/USD,0.11081296,0.11138712,0.10572651,0.10792747,40046.69550669989,371051.92502613
1646179200000,2022-03-02 00:00:00,XEM/USD,0.11364207,0.11377755,0.11310894,0.11321729,755.0925907301222,6669.41057086
1646092800000,2022-03-01 00:00:00,XEM/USD,0.11206647,0.11370729,0.10819038,0.11357094,51153.27706238692,450408.15073281
1646006400000,2022-02-28 00:00:00,XEM/USD,0.10314828,0.11213119,0.10144842,0.11213119,53554.28065276356,477603.78403871
1645920000000,2022-02-27 00:00:00,XEM/USD,0.1039532,0.107291,0.10073011,0.10300742,39439.860769170926,382883.68710886
1645833600000,2022-02-26 00:00:00,XEM/USD,0.10164394,0.10593051,0.10131475,0.10393204,36074.940288600716,347101.24316429
1645747200000,2022-02-25 00:00:00,XEM/USD,0.09545314,0.10214647,0.09312429,0.10145595,37879.451731726265,373358.60274066
