https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALGO,Volume USDT
1647907200,2022-03-22 00:00:00,ALGO/USDT,0.8283,0.8518,0.8032,0.8265,9108718.31636138,7519835.042987226813
1647820800,2022-03-21 00:00:00,ALGO/USDT,0.7411,0.8288,0.7298,0.8275,9570910.30255768,7578299.719489678339
1647734400,2022-03-20 00:00:00,ALGO/USDT,0.7646,0.7769,0.7337,0.7413,4958920.03477946,3728805.040413008725
1647648000,2022-03-19 00:00:00,ALGO/USDT,0.7551,0.78,0.752,0.7648,5581405.54486741,4274909.563249694364
1647561600,2022-03-18 00:00:00,ALGO/USDT,0.7416,0.7632,0.7256,0.7549,5513828.63989156,4110245.944016692842
1647475200,2022-03-17 00:00:00,ALGO/USDT,0.7368,0.7608,0.7215,0.7414,7158229.51738213,5289911.654033115246
1647388800,2022-03-16 00:00:00,ALGO/USDT,0.7159,0.7386,0.6959,0.7367,8424895.23171246,6041809.751709265183
1647302400,2022-03-15 00:00:00,ALGO/USDT,0.7063,0.7275,0.6776,0.7162,8353520.19357235,5887813.260155783477
1647216000,2022-03-14 00:00:00,ALGO/USDT,0.6805,0.714,0.6736,0.7064,5058625.30588734,3510783.105742015476
1647129600,2022-03-13 00:00:00,ALGO/USDT,0.7042,0.7164,0.6747,0.681,3424422.63979939,2396505.31550891034
1647043200,2022-03-12 00:00:00,ALGO/USDT,0.7014,0.7243,0.7006,0.7045,2787766.67257171,1983291.9932936304
1646956800,2022-03-11 00:00:00,ALGO/USDT,0.7308,0.7319,0.6991,0.7016,5823018.9201126,4150836.33176101751
1646870400,2022-03-10 00:00:00,ALGO/USDT,0.7671,0.7811,0.7225,0.7308,4384114.47985121,3248369.846096973126
1646784000,2022-03-09 00:00:00,ALGO/USDT,0.7396,0.7802,0.7392,0.7669,5685016.02477884,4347924.905869573369
1646697600,2022-03-08 00:00:00,ALGO/USDT,0.728,0.7593,0.725,0.74,4941802.36735425,3664578.244383066582
1646611200,2022-03-07 00:00:00,ALGO/USDT,0.7465,0.7724,0.7197,0.728,6023266.29913438,4475262.857988707632
1646524800,2022-03-06 00:00:00,ALGO/USDT,0.7738,0.7821,0.7431,0.7464,4066519.91940461,3103424.694475809274
1646438400,2022-03-05 00:00:00,ALGO/USDT,0.7603,0.778,0.7424,0.7738,3883536.81461148,2958615.289792796099
1646352000,2022-03-04 00:00:00,ALGO/USDT,0.7965,0.8112,0.752,0.7602,6138992.71181008,4808710.20061231494
1646265600,2022-03-03 00:00:00,ALGO/USDT,0.8198,0.851,0.7824,0.7971,7069986.38657289,5761715.700325838402
1646179200,2022-03-02 00:00:00,ALGO/USDT,0.856,0.8592,0.8073,0.8199,6285171.47978466,5212071.687804537581
1646092800,2022-03-01 00:00:00,ALGO/USDT,0.868,0.8951,0.8368,0.856,7304720.35749505,6296033.114907358021
1646006400,2022-02-28 00:00:00,ALGO/USDT,0.7978,0.8693,0.7847,0.869,5800053.31703034,4822834.17823476055
1645920000,2022-02-27 00:00:00,ALGO/USDT,0.8598,0.8626,0.7813,0.7976,5525013.80426986,4538865.091773419283
1645833600,2022-02-26 00:00:00,ALGO/USDT,0.829,0.8817,0.8183,0.8598,5112918.51145003,4329131.161519607595
1645747200,2022-02-25 00:00:00,ALGO/USDT,0.7771,0.8412,0.768,0.8304,5234844.04156883,4177867.901481113768
1645660800,2022-02-24 00:00:00,ALGO/USDT,0.7849,0.7961,0.6878,0.7772,15451452.49859312,11426126.894132551566
1645574400,2022-02-23 00:00:00,ALGO/USDT,0.8108,0.8506,0.7818,0.7849,6477943.49289146,5298930.134294764175
1645488000,2022-02-22 00:00:00,ALGO/USDT,0.7847,0.8199,0.7584,0.8111,7163966.04997456,5668334.203773776711
1645401600,2022-02-21 00:00:00,ALGO/USDT,0.8447,0.8782,0.779,0.785,8221112.08651656,6891331.760580268988
1645315200,2022-02-20 00:00:00,ALGO/USDT,0.8989,0.9004,0.8324,0.8438,6094236.64489003,5212938.318113514122
1645228800,2022-02-19 00:00:00,ALGO/USDT,0.8941,0.9177,0.8711,0.8994,4047776.92099319,3622066.416664855952
1645142400,2022-02-18 00:00:00,ALGO/USDT,0.8975,0.9262,0.8725,0.8945,5669724.13260053,5101252.107046203293
1645056000,2022-02-17 00:00:00,ALGO/USDT,0.9779,0.9882,0.8881,0.8968,8231999.88962863,7723482.008736479146
