https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EGLD,Volume USDT
1651708800,2022-05-05 00:00:00,EGLD/USDT,137.5,150.11,122.26,125.11,24538.78880686,3244205.832903634
1651622400,2022-05-04 00:00:00,EGLD/USDT,123.75,138.26,123.52,137.36,22020.23378676,2891694.7153797612
1651536000,2022-05-03 00:00:00,EGLD/USDT,125.33,128.95,121.81,123.73,15757.29359663,1980842.3299708386
1651449600,2022-05-02 00:00:00,EGLD/USDT,127.31,130.11,122.57,125.33,17721.21078562,2239296.8771986669
1651363200,2022-05-01 00:00:00,EGLD/USDT,127.35,130.47,122.29,127.44,23442.6464258,2981679.3169316016
1651276800,2022-04-30 00:00:00,EGLD/USDT,134.68,135.78,121.28,127.39,22715.27228388,2985618.5018793367
1651190400,2022-04-29 00:00:00,EGLD/USDT,147.08,147.54,131.11,134.59,16619.11560223,2305188.9677717872
1651104000,2022-04-28 00:00:00,EGLD/USDT,149.46,152.24,145.34,147.09,10074.55621528,1496856.4800960402
1651017600,2022-04-27 00:00:00,EGLD/USDT,144.94,152.44,144.35,149.71,13242.73986542,1968851.6641809841
1650931200,2022-04-26 00:00:00,EGLD/USDT,156.5,159.65,143.61,144.93,23799.94208952,3601623.7725243487
1650844800,2022-04-25 00:00:00,EGLD/USDT,151.28,156.67,143.12,156.44,20080.68497496,3009788.9988356513
1650758400,2022-04-24 00:00:00,EGLD/USDT,153.96,156.32,150.86,151.46,8560.31696749,1314187.076027142
1650672000,2022-04-23 00:00:00,EGLD/USDT,154.59,156.48,151.49,153.68,11341.96421242,1751980.6119224185
1650585600,2022-04-22 00:00:00,EGLD/USDT,157.76,163.68,152.97,154.59,12424.27883777,1959203.7627126926
1650499200,2022-04-21 00:00:00,EGLD/USDT,163.27,167.83,154.47,157.93,17854.94313488,2902549.6508958727
1650412800,2022-04-20 00:00:00,EGLD/USDT,165.1,169.31,160.09,163.25,18722.28044246,3095476.461986114
1650326400,2022-04-19 00:00:00,EGLD/USDT,154.81,165.52,153.58,164.83,18639.78290865,2997678.1758971103
1650240000,2022-04-18 00:00:00,EGLD/USDT,152.35,155.5,145.51,154.82,12810.08248699,1930174.082373351
1650153600,2022-04-17 00:00:00,EGLD/USDT,155.21,158.22,151.7,152.28,7476.00099413,1162752.080231648
1650067200,2022-04-16 00:00:00,EGLD/USDT,155.38,156.33,152.08,155.21,6746.06071881,1042240.2857296092
1649980800,2022-04-15 00:00:00,EGLD/USDT,155.04,157.68,152.6,155.45,7857.45660414,1217928.1643081227
1649894400,2022-04-14 00:00:00,EGLD/USDT,159.21,163.58,152.12,154.95,15222.60067033,2402041.1952998772
1649808000,2022-04-13 00:00:00,EGLD/USDT,156.22,160.37,153.77,159.13,11830.23765662,1869461.4583848976
1649721600,2022-04-12 00:00:00,EGLD/USDT,150.73,159.89,149.91,156.18,12066.64493185,1877072.0144995838
1649635200,2022-04-11 00:00:00,EGLD/USDT,160.93,163.92,148.51,150.7,17163.75017158,2659390.8933896868
1649548800,2022-04-10 00:00:00,EGLD/USDT,167.05,171.53,160.83,161.17,10060.09573069,1683283.1982904583
1649462400,2022-04-09 00:00:00,EGLD/USDT,160.64,167.83,160.52,167.11,7468.47639036,1230177.2475666422
1649376000,2022-04-08 00:00:00,EGLD/USDT,169.03,172.88,159.31,160.64,25803.8867205,4325278.6602925478
1649289600,2022-04-07 00:00:00,EGLD/USDT,164.42,174.01,161.33,169.03,19130.84741701,3234692.6658522047
1649203200,2022-04-06 00:00:00,EGLD/USDT,184.54,184.54,161.99,164.46,30066.24122183,5169631.2018085342
