https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KAVA,Volume USDT
1651017600,2022-04-27 00:00:00,KAVA/USDT,4.9762,5.3498,4.9507,5.168,530558.02343742,2707616.466775380744
1650931200,2022-04-26 00:00:00,KAVA/USDT,5.3286,5.5986,4.7939,4.9876,409053.51261114,2145534.772234604534
1650844800,2022-04-25 00:00:00,KAVA/USDT,5.1688,5.582,4.8822,5.3258,649908.61018457,3353376.688042260066
1650758400,2022-04-24 00:00:00,KAVA/USDT,4.8512,5.24,4.8226,5.1657,703982.54156371,3596345.326894365281
1650672000,2022-04-23 00:00:00,KAVA/USDT,4.7113,5.0335,4.5275,4.8601,395665.07164784,1910335.936363279338
1650585600,2022-04-22 00:00:00,KAVA/USDT,4.496,4.8228,4.4637,4.7113,406391.46672061,1899819.533152366203
1650499200,2022-04-21 00:00:00,KAVA/USDT,4.3138,5.1776,4.3138,4.5041,698646.57180377,3379528.440478397402
1650412800,2022-04-20 00:00:00,KAVA/USDT,4.4702,4.4955,4.2464,4.3116,256560.41498763,1124975.680635493006
1650326400,2022-04-19 00:00:00,KAVA/USDT,4.4023,4.51,4.3139,4.4729,414094.51672226,1817628.022588612425
1650240000,2022-04-18 00:00:00,KAVA/USDT,4.063,4.4084,3.9645,4.398,482116.61256175,2006177.674248096422
1650153600,2022-04-17 00:00:00,KAVA/USDT,4.2204,4.3715,4.0541,4.0686,449511.70120555,1898282.039668226504
1650067200,2022-04-16 00:00:00,KAVA/USDT,4.3082,4.3195,4.1249,4.2227,398304.73673371,1674582.655409745232
1649980800,2022-04-15 00:00:00,KAVA/USDT,4.3051,4.4591,4.192,4.3083,447208.04750432,1917098.088365397367
1649894400,2022-04-14 00:00:00,KAVA/USDT,4.1019,4.5216,4.085,4.3081,521557.80713756,2237419.939422738506
1649808000,2022-04-13 00:00:00,KAVA/USDT,4.1381,4.3473,3.8587,4.1044,480436.21664615,1941991.58606828634
1649721600,2022-04-12 00:00:00,KAVA/USDT,4.1712,4.3274,3.9229,4.1406,483672.2065742,1994415.288947567471
1649635200,2022-04-11 00:00:00,KAVA/USDT,4.7655,4.774,4.0602,4.178,530345.07793877,2331936.841098903111
1649548800,2022-04-10 00:00:00,KAVA/USDT,4.7468,4.8375,4.3198,4.7611,557612.87142734,2551699.030711830109
1649462400,2022-04-09 00:00:00,KAVA/USDT,4.5405,5.0322,4.5256,4.7464,625328.27612707,3007461.693247903751
1649376000,2022-04-08 00:00:00,KAVA/USDT,4.63,5.1,4.456,4.5347,647540.30452193,3112633.040330240745
1649289600,2022-04-07 00:00:00,KAVA/USDT,4.2655,4.85,4.15,4.6378,712065.82801069,3240470.506897142218
1649203200,2022-04-06 00:00:00,KAVA/USDT,4.2786,4.5246,4.0467,4.2706,636153.9352302,2764106.960076252675
1649116800,2022-04-05 00:00:00,KAVA/USDT,4.4965,4.5538,4.2479,4.2782,442750.80150495,1952209.24957471664
1649030400,2022-04-04 00:00:00,KAVA/USDT,4.6432,4.6469,4.2662,4.4945,401285.54440369,1784135.124590978108
1648944000,2022-04-03 00:00:00,KAVA/USDT,4.4792,4.6426,4.1355,4.6411,474957.29745332,2135914.281339800712
1648857600,2022-04-02 00:00:00,KAVA/USDT,4.5313,4.6456,4.3829,4.4792,377947.24041632,1719947.641638464705
1648771200,2022-04-01 00:00:00,KAVA/USDT,4.5036,4.9848,4.2566,4.5311,518202.25678991,2330428.09386999057
1648684800,2022-03-31 00:00:00,KAVA/USDT,4.5695,4.6738,4.3427,4.5054,569531.4937137,2579356.618206246626
1648598400,2022-03-30 00:00:00,KAVA/USDT,4.5375,4.8,4.4,4.5694,449136.87015375,2044625.086606723465
1648512000,2022-03-29 00:00:00,KAVA/USDT,4.3963,4.9231,4.3739,4.5373,458385.48845789,2126506.68029506217
1648425600,2022-03-28 00:00:00,KAVA/USDT,4.119,4.8395,4.0939,4.3986,624458.86720153,2828545.147728571593
1648339200,2022-03-27 00:00:00,KAVA/USDT,3.8905,4.1416,3.7784,4.1197,491031.09577163,1941651.839823514045
1648252800,2022-03-26 00:00:00,KAVA/USDT,3.7438,4.0121,3.7372,3.8913,450377.85112462,1730097.572608354415
1648166400,2022-03-25 00:00:00,KAVA/USDT,3.7888,3.8368,3.6929,3.7509,508867.75884713,1919056.722525963204
1648080000,2022-03-24 00:00:00,KAVA/USDT,3.8794,3.9024,3.7137,3.7849,412772.51346395,1567932.588309411574
1647993600,2022-03-23 00:00:00,KAVA/USDT,3.7003,3.97,3.6609,3.8797,467253.1441044,1783973.528848205844
1647907200,2022-03-22 00:00:00,KAVA/USDT,3.5177,3.8009,3.505,3.7003,462884.70705509,1702708.961829419818
1647820800,2022-03-21 00:00:00,KAVA/USDT,3.5038,3.6058,3.3911,3.5241,647646.98958223,2290197.300952425029
1647734400,2022-03-20 00:00:00,KAVA/USDT,3.414,3.59,3.3661,3.5035,550029.48173981,1915374.899592688268
1647648000,2022-03-19 00:00:00,KAVA/USDT,3.392,3.496,3.3247,3.4189,132757.02131096,454436.741705744508
1647561600,2022-03-18 00:00:00,KAVA/USDT,3.36,3.4,3.1764,3.4,110178.19226227,356307.291190497709
1647475200,2022-03-17 00:00:00,KAVA/USDT,3.189,3.365,3.1334,3.3582,509031.89672072,1626375.14986409117
1647388800,2022-03-16 00:00:00,KAVA/USDT,3.0433,3.3992,3.0032,3.188,570738.38216149,1761457.825046459681
1647302400,2022-03-15 00:00:00,KAVA/USDT,3.0577,3.0761,2.9525,3.0447,498633.46411982,1503916.677555891575
1647216000,2022-03-14 00:00:00,KAVA/USDT,2.9481,3.0614,2.701,3.0581,480059.54940668,1435657.046764348256
1647129600,2022-03-13 00:00:00,KAVA/USDT,3.0572,3.129,2.9292,2.9576,27130.95129728,82068.87096121078
1647043200,2022-03-12 00:00:00,KAVA/USDT,3.0503,3.1357,3.0478,3.0644,26418.60915847,81980.909293995334
1646956800,2022-03-11 00:00:00,KAVA/USDT,3.1122,3.2101,3.023,3.0487,49687.4009129,154516.122727938042
1646870400,2022-03-10 00:00:00,KAVA/USDT,3.2214,3.3612,3.0192,3.1117,46206.65594124,144547.811176479404
