https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CRO,Volume USDT
1655769600,2022-06-21 00:00:00,CRO/USDT,0.1149,0.1154,0.1136,0.1143,354183.77237627,40568.227249774794
1655683200,2022-06-20 00:00:00,CRO/USDT,0.1149,0.1174,0.1095,0.1149,11773475.91737389,1335070.287308440796
1655596800,2022-06-19 00:00:00,CRO/USDT,0.1066,0.116,0.1003,0.1148,14205213.53758426,1547554.7933744095
1655510400,2022-06-18 00:00:00,CRO/USDT,0.1152,0.1159,0.0985,0.1064,16695826.02795545,1770179.167583858133
1655424000,2022-06-17 00:00:00,CRO/USDT,0.1092,0.1173,0.1092,0.1151,16510306.86498582,1883452.327821101999
1655337600,2022-06-16 00:00:00,CRO/USDT,0.1221,0.1237,0.1074,0.1092,17222443.72472934,1966783.872417495757
1655251200,2022-06-15 00:00:00,CRO/USDT,0.1183,0.1225,0.1048,0.1221,27099798.61308303,3089855.588795701505
1655164800,2022-06-14 00:00:00,CRO/USDT,0.1168,0.1246,0.1075,0.1183,18591539.45387009,2149412.524856641482
1655078400,2022-06-13 00:00:00,CRO/USDT,0.1407,0.1415,0.1131,0.1168,24148288.83094206,2999372.84359255313
1654992000,2022-06-12 00:00:00,CRO/USDT,0.1535,0.1546,0.1402,0.1405,11026516.08801721,1601585.655102436884
1654905600,2022-06-11 00:00:00,CRO/USDT,0.1656,0.1676,0.1499,0.1533,7678888.39539435,1205276.488187766584
1654819200,2022-06-10 00:00:00,CRO/USDT,0.1743,0.1755,0.1638,0.1654,4219002.83833033,715889.234552688077
1654732800,2022-06-09 00:00:00,CRO/USDT,0.1761,0.1787,0.1738,0.1743,2954224.91599267,520438.155220236272
1654646400,2022-06-08 00:00:00,CRO/USDT,0.1781,0.1796,0.1732,0.176,3475650.42573253,613413.146968955164
1654560000,2022-06-07 00:00:00,CRO/USDT,0.1819,0.1824,0.1703,0.1779,6445049.73820664,1128545.829253913567
1654473600,2022-06-06 00:00:00,CRO/USDT,0.179,0.1868,0.1784,0.1818,5652470.0031985,1035466.820250496539
1654387200,2022-06-05 00:00:00,CRO/USDT,0.1796,0.181,0.1752,0.179,4170622.67882624,742475.01621442253
1654300800,2022-06-04 00:00:00,CRO/USDT,0.1781,0.1799,0.1749,0.1796,2801988.99785938,497210.452212106905
1654214400,2022-06-03 00:00:00,CRO/USDT,0.1847,0.1859,0.1748,0.1779,4523721.78605737,810071.685545768514
1654128000,2022-06-02 00:00:00,CRO/USDT,0.1784,0.1858,0.1767,0.1845,5546961.42533995,1003750.321612179699
1654041600,2022-06-01 00:00:00,CRO/USDT,0.1894,0.1923,0.1751,0.1784,7595256.74382359,1397180.655755631223
1653955200,2022-05-31 00:00:00,CRO/USDT,0.1901,0.1922,0.1836,0.1893,7464085.87068566,1407519.873660269404
1653868800,2022-05-30 00:00:00,CRO/USDT,0.1747,0.1921,0.1722,0.1898,11239367.3983014,2061602.69157114889
1653782400,2022-05-29 00:00:00,CRO/USDT,0.1705,0.1762,0.1676,0.1746,3847353.3839767,661982.863979962993
1653696000,2022-05-28 00:00:00,CRO/USDT,0.1676,0.1725,0.1669,0.1705,4148701.46702647,704371.971826495326
1653609600,2022-05-27 00:00:00,CRO/USDT,0.17,0.1749,0.1645,0.1676,8449316.19490334,1429665.431276234294
1653523200,2022-05-26 00:00:00,CRO/USDT,0.184,0.1865,0.1635,0.1699,12662612.59823236,2205064.476113216839
1653436800,2022-05-25 00:00:00,CRO/USDT,0.1901,0.1939,0.1829,0.1839,5695805.12153929,1067609.843336486445
1653350400,2022-05-24 00:00:00,CRO/USDT,0.1853,0.1905,0.1802,0.19,5318057.80607381,988200.603057558707
1653264000,2022-05-23 00:00:00,CRO/USDT,0.1954,0.2027,0.1844,0.1853,6999962.69852122,1364500.478478824604
1653177600,2022-05-22 00:00:00,CRO/USDT,0.1893,0.1962,0.1863,0.1953,4854245.38518646,929325.506393610882
1653091200,2022-05-21 00:00:00,CRO/USDT,0.1872,0.1921,0.1832,0.1895,8044451.71491573,1507171.364204691413
1653004800,2022-05-20 00:00:00,CRO/USDT,0.1964,0.199,0.1819,0.1872,7956466.55973781,1520292.981892929644
1652918400,2022-05-19 00:00:00,CRO/USDT,0.1844,0.1978,0.1829,0.1965,8221291.59998973,1574176.291682462239
1652832000,2022-05-18 00:00:00,CRO/USDT,0.2025,0.2041,0.1842,0.1846,9318595.6278895,1780207.530709025724
1652745600,2022-05-17 00:00:00,CRO/USDT,0.1936,0.2034,0.1932,0.2025,6794803.49777649,1348408.058049821994
1652659200,2022-05-16 00:00:00,CRO/USDT,0.2036,0.2037,0.1857,0.1933,10953078.2435654,2108162.436069079064
1652572800,2022-05-15 00:00:00,CRO/USDT,0.1892,0.2072,0.1837,0.2037,14968617.55710119,2903938.219651578922
1652486400,2022-05-14 00:00:00,CRO/USDT,0.1817,0.1941,0.1745,0.1889,29816016.28343569,5413386.128870616425
