https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HBAR,Volume USDT
1651190400,2022-04-29 00:00:00,HBAR/USDT,0.16988,0.17158,0.15578,0.15895,11312210.95153891,1850387.1544789403946
1651104000,2022-04-28 00:00:00,HBAR/USDT,0.16925,0.17369,0.16625,0.16985,9365909.18038563,1588271.4992222739724
1651017600,2022-04-27 00:00:00,HBAR/USDT,0.16764,0.17413,0.1646,0.16929,9302018.32314603,1573283.6066125451362
1650931200,2022-04-26 00:00:00,HBAR/USDT,0.18165,0.18323,0.16367,0.16756,13148106.34734867,2274480.5684475037216
1650844800,2022-04-25 00:00:00,HBAR/USDT,0.18571,0.18612,0.17139,0.18155,17649799.33311616,3139525.2327961523642
1650758400,2022-04-24 00:00:00,HBAR/USDT,0.18685,0.18948,0.18382,0.18583,7625326.32206898,1423191.3059321160433
1650672000,2022-04-23 00:00:00,HBAR/USDT,0.18962,0.19088,0.18628,0.18683,5285523.67929352,998844.0514082336346
1650585600,2022-04-22 00:00:00,HBAR/USDT,0.19069,0.19462,0.18684,0.18958,9016356.79873526,1718570.1323088168079
1650499200,2022-04-21 00:00:00,HBAR/USDT,0.19619,0.20248,0.18535,0.19069,9769172.10671924,1918140.422397113122
1650412800,2022-04-20 00:00:00,HBAR/USDT,0.19929,0.20434,0.1924,0.1962,10614688.7009307,2104013.2882250707231
1650326400,2022-04-19 00:00:00,HBAR/USDT,0.19478,0.20038,0.1922,0.19941,9700301.28877345,1908290.6256921338116
1650240000,2022-04-18 00:00:00,HBAR/USDT,0.19224,0.19514,0.18118,0.19471,11162174.94029664,2096123.6883459579256
1650153600,2022-04-17 00:00:00,HBAR/USDT,0.19816,0.20121,0.19014,0.19232,6183033.71813268,1215153.1722436601752
1650067200,2022-04-16 00:00:00,HBAR/USDT,0.19991,0.20398,0.19655,0.19816,5258158.73801047,1050559.2146607891878
1649980800,2022-04-15 00:00:00,HBAR/USDT,0.19621,0.20142,0.19439,0.19997,9528913.86057169,1885859.8347113317653
1649894400,2022-04-14 00:00:00,HBAR/USDT,0.20342,0.20548,0.19261,0.19633,7131868.91842663,1421695.1392624224881
1649808000,2022-04-13 00:00:00,HBAR/USDT,0.19838,0.20493,0.19527,0.20324,11333976.85482742,2269474.7142584841536
1649721600,2022-04-12 00:00:00,HBAR/USDT,0.19492,0.20363,0.19233,0.19836,10370295.12640005,2057004.7391680832156
1649635200,2022-04-11 00:00:00,HBAR/USDT,0.20804,0.20893,0.19193,0.19476,18946140.05122783,3774071.6394759025536
1649548800,2022-04-10 00:00:00,HBAR/USDT,0.21375,0.21876,0.20795,0.20832,8056321.42687686,1720589.9133342502985
1649462400,2022-04-09 00:00:00,HBAR/USDT,0.20829,0.21479,0.20721,0.21374,5787228.61725598,1218043.488226897214
1649376000,2022-04-08 00:00:00,HBAR/USDT,0.22252,0.22428,0.206,0.2085,9534002.03005597,2038528.8621383441935
1649289600,2022-04-07 00:00:00,HBAR/USDT,0.21,0.23005,0.205,0.22254,20060424.99074388,4410485.4283717989753
1649203200,2022-04-06 00:00:00,HBAR/USDT,0.22715,0.22727,0.20818,0.21036,15631530.61635032,3383854.9205049359579
1649116800,2022-04-05 00:00:00,HBAR/USDT,0.23873,0.24111,0.22586,0.2271,11255757.79634771,2645423.0960122496762
1649030400,2022-04-04 00:00:00,HBAR/USDT,0.24815,0.24822,0.22868,0.23867,13497277.18265263,3225729.5220616456073
1648944000,2022-04-03 00:00:00,HBAR/USDT,0.24528,0.25031,0.24069,0.24821,9902685.51846029,2438887.161764829781
1648857600,2022-04-02 00:00:00,HBAR/USDT,0.24617,0.25258,0.24058,0.24528,16372403.57198942,4053096.9793727987544
1648771200,2022-04-01 00:00:00,HBAR/USDT,0.23646,0.24882,0.23004,0.24645,18686309.01021138,4488336.1350048625283
1648684800,2022-03-31 00:00:00,HBAR/USDT,0.2542,0.26126,0.23207,0.23652,23125090.66611498,5742501.4719004671108
1648598400,2022-03-30 00:00:00,HBAR/USDT,0.254,0.25959,0.24423,0.25422,14456781.0969541,3654425.5512678711384
1648512000,2022-03-29 00:00:00,HBAR/USDT,0.23579,0.26868,0.23512,0.25421,26619094.51896022,6758662.8192399505878
1648425600,2022-03-28 00:00:00,HBAR/USDT,0.2423,0.2517,0.234,0.23533,21935949.77270013,5366103.9698789463353
1648339200,2022-03-27 00:00:00,HBAR/USDT,0.22717,0.2475,0.22665,0.24244,20114711.64531138,4778405.6472580130355
1648252800,2022-03-26 00:00:00,HBAR/USDT,0.22321,0.22734,0.22144,0.22715,7007713.77033938,1574503.7409304810574
1648166400,2022-03-25 00:00:00,HBAR/USDT,0.22024,0.23028,0.21684,0.22299,12763280.61789355,2858702.2382532085935
1648080000,2022-03-24 00:00:00,HBAR/USDT,0.21801,0.22823,0.21746,0.22035,13975450.53144337,3100020.722396500239
1647993600,2022-03-23 00:00:00,HBAR/USDT,0.21486,0.2196,0.21073,0.21801,13281359.82253723,2864053.980620129864
1647907200,2022-03-22 00:00:00,HBAR/USDT,0.21123,0.22,0.21001,0.21486,9857689.16241062,2125657.4899996998905
1647820800,2022-03-21 00:00:00,HBAR/USDT,0.20944,0.21599,0.20522,0.21124,8803458.19349521,1851035.8311955328124
1647734400,2022-03-20 00:00:00,HBAR/USDT,0.21018,0.21249,0.20574,0.20947,6372852.24280595,1331008.483608353709
1647648000,2022-03-19 00:00:00,HBAR/USDT,0.2084,0.21351,0.20681,0.21022,6879902.10535668,1449664.7235292236684
1647561600,2022-03-18 00:00:00,HBAR/USDT,0.20514,0.21124,0.19932,0.2082,7043807.34540225,1438371.0025952692129
1647475200,2022-03-17 00:00:00,HBAR/USDT,0.20442,0.20908,0.20317,0.20562,6076332.46158487,1250843.3817275915783
1647388800,2022-03-16 00:00:00,HBAR/USDT,0.20006,0.20542,0.194,0.2044,9947285.43137621,1987479.6294983212185
