https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AR,Volume USDT
1645315200,2022-02-20 00:00:00,AR/USDT,28.296,28.414,25.553,26.099,23042.03587035,610745.85673944208
1645228800,2022-02-19 00:00:00,AR/USDT,28.847,29.28,27.085,28.312,23386.64999727,663424.65799182017
1645142400,2022-02-18 00:00:00,AR/USDT,30.052,31.466,28.534,28.893,23423.89711116,699546.9134783841
1645056000,2022-02-17 00:00:00,AR/USDT,33.715,34.137,29.961,30.109,27799.59303176,886809.82106224763
1644969600,2022-02-16 00:00:00,AR/USDT,35.092,35.642,33.247,33.665,18357.86089805,628947.03261196467
1644883200,2022-02-15 00:00:00,AR/USDT,32.452,35.4,32.073,35.063,23064.49071643,787141.08100306916
1644796800,2022-02-14 00:00:00,AR/USDT,32.17,32.714,30.494,32.432,12902.96904638,410252.01663811597
1644710400,2022-02-13 00:00:00,AR/USDT,33.302,34.158,31.317,32.17,12506.88401797,411554.95717220463
1644624000,2022-02-12 00:00:00,AR/USDT,32.416,34.323,31.66,33.162,13549.80420409,449557.39451706024
1644537600,2022-02-11 00:00:00,AR/USDT,35.965,36.257,31.694,32.552,31881.9522784,1092324.59050112597
1644451200,2022-02-10 00:00:00,AR/USDT,40.77,41.437,35.721,35.975,38100.63276062,1437210.89022569795
1644364800,2022-02-09 00:00:00,AR/USDT,36.777,41.494,35.434,40.869,30548.08976035,1173193.46069666032
1644278400,2022-02-08 00:00:00,AR/USDT,40.097,41.504,35.436,36.756,40607.50313308,1521887.23532615155
1644192000,2022-02-07 00:00:00,AR/USDT,38.017,42.503,36.54,40.054,31710.36346201,1259717.88042075663
1644105600,2022-02-06 00:00:00,AR/USDT,38.589,40.029,36.236,38.105,16286.24540121,614900.95698731244
1644019200,2022-02-05 00:00:00,AR/USDT,39.577,41.191,38.309,38.56,21547.87241402,858725.63107628621
1643932800,2022-02-04 00:00:00,AR/USDT,34.878,39.565,34.73,39.565,20378.07806942,753113.6995032144
1643846400,2022-02-03 00:00:00,AR/USDT,34.814,35.758,33.226,35.006,18984.33606565,657864.66701938395
1643760000,2022-02-02 00:00:00,AR/USDT,39.976,41.704,34.575,34.8,19233.71306624,736618.29346599906
1643673600,2022-02-01 00:00:00,AR/USDT,38.959,41.766,37.412,40.024,20776.21349754,818676.87818250975
1643587200,2022-01-31 00:00:00,AR/USDT,35.936,41.346,34,38.82,32414.94565556,1240361.15334132139
1643500800,2022-01-30 00:00:00,AR/USDT,34.986,37.751,33.682,35.998,37139.61739448,1347333.24482875591
1643414400,2022-01-29 00:00:00,AR/USDT,31.7,35.839,31.548,34.933,25023.60787139,839414.64823216522
1643328000,2022-01-28 00:00:00,AR/USDT,30.339,32.097,29.136,31.701,26425.66049255,812229.31670920245
1643241600,2022-01-27 00:00:00,AR/USDT,30.185,31.571,28.754,30.434,24024.29999324,717125.91033929855
1643155200,2022-01-26 00:00:00,AR/USDT,32.767,34.755,29.621,30.095,32395.5469753,1048214.69353433681
1643068800,2022-01-25 00:00:00,AR/USDT,33.267,34.521,30.136,32.623,21231.06388002,679124.75684604802
1642982400,2022-01-24 00:00:00,AR/USDT,34.217,34.958,27.346,33.311,33570.75150251,1036442.28366795183
1642896000,2022-01-23 00:00:00,AR/USDT,31.152,34.681,30.405,34.364,23572.6994011,781587.60855486637
1642809600,2022-01-22 00:00:00,AR/USDT,32.35,34.578,27.117,31.137,51718.38980795,1604874.79151099457
1642723200,2022-01-21 00:00:00,AR/USDT,39.908,40.337,31.299,32.416,52979.05710689,1958243.56767553851
1642636800,2022-01-20 00:00:00,AR/USDT,42.048,45.351,38.747,40.069,17460.64031553,742182.08087746682
1642550400,2022-01-19 00:00:00,AR/USDT,44.427,45.79,41.204,42.102,16509.28066285,713249.18879325119
1642464000,2022-01-18 00:00:00,AR/USDT,47.475,48,43.811,44.427,16100.09544582,725599.71757434875
1642377600,2022-01-17 00:00:00,AR/USDT,49.353,49.607,45.373,47.444,16857.48819064,787435.88051357688
1642291200,2022-01-16 00:00:00,AR/USDT,49.717,50.481,48.111,49.332,11609.51167929,571267.05249233252
1642204800,2022-01-15 00:00:00,AR/USDT,50.254,51.11,49.098,49.636,11997.66707466,602468.99223020966
1642118400,2022-01-14 00:00:00,AR/USDT,49.552,51.382,48.502,50.252,19343.06872246,968677.20451804938
1642032000,2022-01-13 00:00:00,AR/USDT,52.095,54.372,49.308,49.514,40420.06506319,2109864.39089051719
1641945600,2022-01-12 00:00:00,AR/USDT,48.271,53.197,48.114,52.088,44975.06225121,2295073.73236287028
1641859200,2022-01-11 00:00:00,AR/USDT,46.46,48.717,44.659,48.213,25527.43888791,1194239.05622085475
1641772800,2022-01-10 00:00:00,AR/USDT,50.248,52.769,43.594,46.252,25558.67959701,1217273.35157320739
1641686400,2022-01-09 00:00:00,AR/USDT,47.551,52.165,46.94,50.337,30379.56237728,1513760.69024447716
1641600000,2022-01-08 00:00:00,AR/USDT,49.571,51.682,45.165,47.499,29180.7782131,1418944.0000442106
1641513600,2022-01-07 00:00:00,AR/USDT,55.309,55.502,48,49.568,38572.55296917,1949101.12374214131
1641427200,2022-01-06 00:00:00,AR/USDT,56.201,57.135,52.803,55.309,35087.92695305,1941401.70167676403
1641340800,2022-01-05 00:00:00,AR/USDT,62.637,65.328,52.347,56.27,48159.88756027,2866524.7884904547
1641254400,2022-01-04 00:00:00,AR/USDT,59.798,68.8,58.921,62.637,56827.18132616,3669996.21448331929
1641168000,2022-01-03 00:00:00,AR/USDT,60.124,61.278,57.004,59.819,22583.92236658,1336760.91446547005
1641081600,2022-01-02 00:00:00,AR/USDT,66.121,66.157,59.87,60.192,21773.47604004,1351755.57270657699
1640995200,2022-01-01 00:00:00,AR/USDT,58.898,68.732,58.887,66.115,29143.04117184,1862649.3249945822
1640908800,2021-12-31 00:00:00,AR/USDT,58.107,63.915,56.317,59.072,38038.45988681,2309572.19166432637
1640822400,2021-12-30 00:00:00,AR/USDT,54.775,58.421,52.268,58.129,20820.30375547,1159874.83339197849
1640736000,2021-12-29 00:00:00,AR/USDT,53.34,58.768,53,54.759,38527.1931917,2156022.37244826894
1640649600,2021-12-28 00:00:00,AR/USDT,59.868,59.87,53.084,53.346,38092.40189158,2159727.7105943544
