https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USDT
1654128000,2022-06-02 00:00:00,ATOM/USDT,9.3432,9.7036,9.188,9.6304,652717.27068685,6148295.345795967986
1654041600,2022-06-01 00:00:00,ATOM/USDT,10.3233,10.5016,9.1095,9.3445,1106761.91702068,10990187.784547104344
1653955200,2022-05-31 00:00:00,ATOM/USDT,10.5069,10.8313,10.0572,10.3252,772842.6881282,8033066.932216548101
1653868800,2022-05-30 00:00:00,ATOM/USDT,9.5923,10.6011,9.5014,10.5053,783259.40606159,7944908.552357858266
1653782400,2022-05-29 00:00:00,ATOM/USDT,9.4097,9.6735,9.1504,9.5895,476360.7838834,4504734.721116190939
1653696000,2022-05-28 00:00:00,ATOM/USDT,9.2744,9.6903,9.1727,9.4126,422107.56755568,3990703.653405198146
1653609600,2022-05-27 00:00:00,ATOM/USDT,9.6037,9.9096,9.0504,9.2776,988932.5714174,9340178.295263983214
1653523200,2022-05-26 00:00:00,ATOM/USDT,10.7413,10.91,9.1994,9.6076,1244978.06811612,12287358.289141191076
1653436800,2022-05-25 00:00:00,ATOM/USDT,11.0929,11.3955,10.6091,10.7409,847926.63300004,9224390.48215260591
1653350400,2022-05-24 00:00:00,ATOM/USDT,11.1498,11.3845,10.436,11.0972,921666.16753017,10088665.234449307304
1653264000,2022-05-23 00:00:00,ATOM/USDT,11.4064,12.333,10.9335,11.1455,1021516.3271105,12010956.24528937824
1653177600,2022-05-22 00:00:00,ATOM/USDT,11.0493,11.5926,10.9265,11.4092,464653.53320142,5234756.637015387524
1653091200,2022-05-21 00:00:00,ATOM/USDT,11.1934,11.4994,10.7812,11.0542,770256.5933222,8537587.211381906934
1653004800,2022-05-20 00:00:00,ATOM/USDT,10.8393,12.2205,10.7607,11.1921,2511089.91984717,28689587.510762714141
1652918400,2022-05-19 00:00:00,ATOM/USDT,10.1149,10.9644,9.8159,10.8337,828293.98543112,8650236.495196068986
1652832000,2022-05-18 00:00:00,ATOM/USDT,11.4601,11.775,9.9981,10.1142,888734.61480244,9487290.043044791467
1652745600,2022-05-17 00:00:00,ATOM/USDT,11.0756,11.9209,10.7555,11.4565,678725.15268448,7714373.584216840551
1652659200,2022-05-16 00:00:00,ATOM/USDT,12.3932,12.4751,10.944,11.0745,1088251.34584538,12550816.481124328344
1652572800,2022-05-15 00:00:00,ATOM/USDT,10.7797,12.4921,10.324,12.3931,772085.14902427,8723667.959841577573
1652486400,2022-05-14 00:00:00,ATOM/USDT,10.3273,11.0777,9.5453,10.7792,874678.94239188,9030377.741840632425
1652400000,2022-05-13 00:00:00,ATOM/USDT,9.661,11.6565,8.577,10.3251,1592837.46787878,16821062.609729095708
1652313600,2022-05-12 00:00:00,ATOM/USDT,10.8131,11.707,8.5411,9.6564,2227975.99398202,21391143.109727664078
1652227200,2022-05-11 00:00:00,ATOM/USDT,13.5843,13.9992,9.2211,10.8003,2988505.75165711,35137155.787844912095
1652140800,2022-05-10 00:00:00,ATOM/USDT,12.4857,15.314,11.968,13.5738,2410630.03240968,33398160.781901108735
