https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HNT,Volume USDT
1650153600,2022-04-17 00:00:00,HNT/USDT,20.443,20.621,19.939,20.03,9281.70261597,188745.37462080025
1650067200,2022-04-16 00:00:00,HNT/USDT,20.503,20.8,20.15,20.43,7115.77700897,145447.14603292403
1649980800,2022-04-15 00:00:00,HNT/USDT,20.275,20.7,20.208,20.492,8627.79333711,176721.07354376584
1649894400,2022-04-14 00:00:00,HNT/USDT,21.008,21.565,20.096,20.271,17910.60808366,373120.73557284857
1649808000,2022-04-13 00:00:00,HNT/USDT,20.657,21.186,20.341,20.945,13219.94665114,275854.00668818209
1649721600,2022-04-12 00:00:00,HNT/USDT,20.217,21.269,20.169,20.653,19614.16217981,405903.99449945428
1649635200,2022-04-11 00:00:00,HNT/USDT,21.842,22.047,20,20.201,28560.65013356,594287.52482886741
1649548800,2022-04-10 00:00:00,HNT/USDT,22.808,22.817,21.782,21.788,14000.62357543,312825.3809793737
1649462400,2022-04-09 00:00:00,HNT/USDT,22.001,22.807,21.952,22.807,16758.40358533,375706.65043120069
1649376000,2022-04-08 00:00:00,HNT/USDT,23.247,24.557,21.536,22.002,38622.91788804,884750.76367188429
1649289600,2022-04-07 00:00:00,HNT/USDT,22.438,23.4,22.2,23.258,23711.19829552,541853.65482035021
1649203200,2022-04-06 00:00:00,HNT/USDT,24.68,25,22.391,22.392,43345.30599774,1013917.93819296024
1649116800,2022-04-05 00:00:00,HNT/USDT,25.314,25.583,24.362,24.633,27691.55209296,692889.08243858822
1649030400,2022-04-04 00:00:00,HNT/USDT,26.441,28.17,24.2,25.313,64459.84747613,1693930.38719472262
1648944000,2022-04-03 00:00:00,HNT/USDT,24.626,27.638,24.504,26.39,91520.56207117,2410188.62574941703
1648857600,2022-04-02 00:00:00,HNT/USDT,24.571,25.593,24.306,24.615,27013.9843675,673820.00279891478
1648771200,2022-04-01 00:00:00,HNT/USDT,24.656,25.056,22.956,24.571,41205.63430594,981105.14311146804
1648684800,2022-03-31 00:00:00,HNT/USDT,25.112,26.033,23.529,24.672,89042.52512523,2219887.7856561476
1648598400,2022-03-30 00:00:00,HNT/USDT,23.999,27.461,23.248,25.112,105215.2361142,2647782.98226772538
1648512000,2022-03-29 00:00:00,HNT/USDT,23.859,25.2,23.5,23.962,45688.76772777,1105117.19245670066
1648425600,2022-03-28 00:00:00,HNT/USDT,24.87,25.829,23.8,23.81,45873.62227912,1137731.52010414105
1648339200,2022-03-27 00:00:00,HNT/USDT,24.048,24.867,23.843,24.831,24141.86879739,587415.24276220351
1648252800,2022-03-26 00:00:00,HNT/USDT,23.504,24.203,23.171,24.046,16557.20283611,394016.81256109881
1648166400,2022-03-25 00:00:00,HNT/USDT,25.219,25.974,22.997,23.538,39237.90682252,968457.83262436318
1648080000,2022-03-24 00:00:00,HNT/USDT,25.313,25.8,23.892,25.219,31477.0164496,779770.51096206507
1647993600,2022-03-23 00:00:00,HNT/USDT,25.075,26.386,24.06,25.297,40740.19141569,1027842.56039886033
1647907200,2022-03-22 00:00:00,HNT/USDT,22.784,25.358,22.47,25.086,48942.64872546,1185301.80993386951
1647820800,2022-03-21 00:00:00,HNT/USDT,22.201,22.9,21.2,22.786,25948.44907528,572929.95777430301
1647734400,2022-03-20 00:00:00,HNT/USDT,24.066,24.28,21.822,22.202,28198.1869959,637223.5633764044
1647648000,2022-03-19 00:00:00,HNT/USDT,24.067,24.868,23.04,24.126,45606.9866519,1097069.37370538674
1647561600,2022-03-18 00:00:00,HNT/USDT,22.617,25.01,22.477,24.052,55429.1125169,1322386.79720051613
1647475200,2022-03-17 00:00:00,HNT/USDT,22.535,23.07,22.2,22.707,24763.36735329,560892.30542199591
1647388800,2022-03-16 00:00:00,HNT/USDT,21.207,22.535,21.014,22.535,36177.14949699,786505.61832665871
1647302400,2022-03-15 00:00:00,HNT/USDT,20.933,21.31,20.082,21.13,16356.1314318,338991.58699612892
1647216000,2022-03-14 00:00:00,HNT/USDT,20.003,21.287,19.68,20.933,16966.05243338,348772.09714256527
1647129600,2022-03-13 00:00:00,HNT/USDT,21.14,21.842,20,20.059,13212.09878905,277096.69146663148
1647043200,2022-03-12 00:00:00,HNT/USDT,20.905,21.602,20.872,21.169,7944.89480055,169278.71195550185
1646956800,2022-03-11 00:00:00,HNT/USDT,21.277,21.97,20.376,20.905,18270.84620875,389377.43715810528
1646870400,2022-03-10 00:00:00,HNT/USDT,21.668,21.792,20.42,21.215,17938.3210573,379593.9667596307
1646784000,2022-03-09 00:00:00,HNT/USDT,21.137,22.62,21.136,21.668,14928.16078925,328324.9406880176
1646697600,2022-03-08 00:00:00,HNT/USDT,21.118,22.653,20.541,21.208,15270.08447277,332262.10457357581
1646611200,2022-03-07 00:00:00,HNT/USDT,21.029,21.993,20,21.122,18481.25962277,386375.42753787655
1646524800,2022-03-06 00:00:00,HNT/USDT,21.995,22.13,20.98,21.037,9135.03969362,197565.08633845757
1646438400,2022-03-05 00:00:00,HNT/USDT,21.429,22.389,20.783,22.05,12568.15810429,272551.55741635751
1646352000,2022-03-04 00:00:00,HNT/USDT,22.981,23.164,21,21.411,25813.4831398,571065.00068777385
1646265600,2022-03-03 00:00:00,HNT/USDT,25.328,25.8,22.5,23,23300.6629257,558861.90951089148
1646179200,2022-03-02 00:00:00,HNT/USDT,26.018,26.252,24.89,25.328,12022.29913727,306867.94281456562
1646092800,2022-03-01 00:00:00,HNT/USDT,26.604,26.942,25.459,26.018,13745.33490603,359525.33228509547
1646006400,2022-02-28 00:00:00,HNT/USDT,24.365,26.994,24.282,26.606,10024.14988257,257868.51193478783
1645920000,2022-02-27 00:00:00,HNT/USDT,25.672,25.91,24,24.369,10294.77126277,256862.24735404225
1645833600,2022-02-26 00:00:00,HNT/USDT,24.854,26.5,24.146,25.672,11702.15448321,295395.9191450561
1645747200,2022-02-25 00:00:00,HNT/USDT,23.037,24.995,22.444,24.901,16173.00276903,386446.10513189947
1645660800,2022-02-24 00:00:00,HNT/USDT,22.75,25.398,20,22.968,26896.78646167,605555.63985771281
1645574400,2022-02-23 00:00:00,HNT/USDT,23.544,25.018,22.747,22.75,11062.4528575,264213.98949683083
1645488000,2022-02-22 00:00:00,HNT/USDT,22.415,23.931,21.345,23.672,11510.9299741,262501.27775175147
1645401600,2022-02-21 00:00:00,HNT/USDT,23.582,24.671,21.999,22.353,13132.29616395,305452.78861912059
1645315200,2022-02-20 00:00:00,HNT/USDT,24.647,24.727,22.669,23.582,15291.34132746,358156.56742557517
1645228800,2022-02-19 00:00:00,HNT/USDT,25.503,26.43,24.576,24.686,7609.11123763,193549.33503797191
1645142400,2022-02-18 00:00:00,HNT/USDT,24.882,27.211,24.37,25.499,36163.40411046,934961.03744216154
1645056000,2022-02-17 00:00:00,HNT/USDT,28.213,28.235,24.364,24.882,28777.82518841,759823.05932956471
1644969600,2022-02-16 00:00:00,HNT/USDT,27.601,28.487,25.977,28.245,16458.58100286,446443.30475510973
1644883200,2022-02-15 00:00:00,HNT/USDT,25.858,27.914,25.761,27.6,16376.07278841,444680.97351683791
1644796800,2022-02-14 00:00:00,HNT/USDT,25.127,27.001,24.001,25.858,22866.74561278,584707.31492563568
1644710400,2022-02-13 00:00:00,HNT/USDT,27.429,27.844,25.003,25.128,10190.95965033,271137.54056059853
1644624000,2022-02-12 00:00:00,HNT/USDT,27.238,28.277,26.263,27.432,11809.95673662,321647.42397960136
1644537600,2022-02-11 00:00:00,HNT/USDT,29.015,30.259,26.796,27.239,20657.95028052,600472.86407824181
1644451200,2022-02-10 00:00:00,HNT/USDT,30.389,31.25,28.629,29.008,18506.14949855,552497.42303506646
1644364800,2022-02-09 00:00:00,HNT/USDT,29.247,31.98,29.043,30.389,13657.84566145,420311.04850112416
1644278400,2022-02-08 00:00:00,HNT/USDT,30.201,31.364,28.256,29.132,10457.30281753,309485.96356943591
1644192000,2022-02-07 00:00:00,HNT/USDT,30.648,33.347,29.752,30.2,12838.78775345,404844.46989825668
1644105600,2022-02-06 00:00:00,HNT/USDT,30.527,30.692,29.073,30.65,8592.08482098,256809.73150218368
1644019200,2022-02-05 00:00:00,HNT/USDT,27.876,31.962,27.611,30.42,21052.93246397,627111.58660899955
1643932800,2022-02-04 00:00:00,HNT/USDT,26.05,27.877,25.7,27.877,10092.11939809,270134.20315501137
1643846400,2022-02-03 00:00:00,HNT/USDT,25.494,26.284,24.353,25.922,10936.66169236,275973.36090938852
1643760000,2022-02-02 00:00:00,HNT/USDT,27.368,27.881,25.084,25.355,11526.39868721,303086.64973040314
1643673600,2022-02-01 00:00:00,HNT/USDT,27.758,28.228,25.938,27.287,14992.81767644,408659.37384613351
1643587200,2022-01-31 00:00:00,HNT/USDT,28.875,28.875,26.51,27.841,24749.94567041,682675.8499499015
1643500800,2022-01-30 00:00:00,HNT/USDT,27.06,29.618,26.03,29.007,24564.06490448,688669.38901898457
1643414400,2022-01-29 00:00:00,HNT/USDT,26.75,28.921,26.601,27,18734.41089667,516146.42538621195
1643328000,2022-01-28 00:00:00,HNT/USDT,28.177,28.771,26.315,26.75,17480.70086898,476284.42553379498
1643241600,2022-01-27 00:00:00,HNT/USDT,28.984,29.715,25.484,28.085,31291.06116477,878627.91217347631
1643155200,2022-01-26 00:00:00,HNT/USDT,25.668,31.953,24.977,28.955,37356.86841111,1062575.4649264488
1643068800,2022-01-25 00:00:00,HNT/USDT,22.605,26.34,22.385,25.667,17330.47528281,424035.45300524706
1642982400,2022-01-24 00:00:00,HNT/USDT,23.696,25.396,19.883,22.511,22242.10565653,492393.34242120693
1642896000,2022-01-23 00:00:00,HNT/USDT,22.473,25.799,21.973,23.696,12643.14758997,290929.09327824487
1642809600,2022-01-22 00:00:00,HNT/USDT,24.137,26.64,20,22.586,22690.25135673,510677.42368299315
1642723200,2022-01-21 00:00:00,HNT/USDT,28.294,28.67,23.902,24.25,20464.23192838,547477.57060728824
1642636800,2022-01-20 00:00:00,HNT/USDT,28.32,31.339,27.675,28.379,13322.94150542,395009.08952768759
1642550400,2022-01-19 00:00:00,HNT/USDT,30.802,31.12,28.149,28.226,10252.38096215,304910.47910307693
1642464000,2022-01-18 00:00:00,HNT/USDT,32.897,35,29.8,30.802,16027.23483555,510797.19944820176
1642377600,2022-01-17 00:00:00,HNT/USDT,33.834,34.352,30.117,32.897,15098.920952,487793.12952470749
1642291200,2022-01-16 00:00:00,HNT/USDT,33.78,38.16,33,34.019,19611.81187712,679127.42122423337
1642204800,2022-01-15 00:00:00,HNT/USDT,33.06,35.78,32.932,33.965,8681.1834062,297819.82259327845
1642118400,2022-01-14 00:00:00,HNT/USDT,32.231,33.57,31.265,33.176,9354.64597311,304321.37772670565
1642032000,2022-01-13 00:00:00,HNT/USDT,35.757,37.2,32.2,32.201,10045.84824975,344851.68350821958
1641945600,2022-01-12 00:00:00,HNT/USDT,33.096,37.406,32.2,35.758,17114.02579467,590545.70511171646
1641859200,2022-01-11 00:00:00,HNT/USDT,31.513,33.706,31.093,33.103,6435.68028666,207841.32286807421
1641772800,2022-01-10 00:00:00,HNT/USDT,33.842,34.142,28,31.514,8798.13794357,278795.54851083407
1641686400,2022-01-09 00:00:00,HNT/USDT,33.911,36.151,32.128,33.686,10797.34723723,362432.98882017679
1641600000,2022-01-08 00:00:00,HNT/USDT,35.55,36.41,30.653,33.685,10976.92566214,367720.01162122027
1641513600,2022-01-07 00:00:00,HNT/USDT,40.26,40.367,35.328,35.418,14253.0616076,527660.79846361288
1641427200,2022-01-06 00:00:00,HNT/USDT,38.53,41.65,36.57,40.132,15878.70638864,612040.11307361473
1641340800,2022-01-05 00:00:00,HNT/USDT,30.21,64.104,30.21,38.58,41738.35454424,1797558.49914085256
