https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HT,Volume USDT
1651276800,2022-04-30 00:00:00,HT/USDT,9.3728,9.4297,9.1993,9.2002,8698.58956824,81195.780453476555
1651190400,2022-04-29 00:00:00,HT/USDT,9.408,9.4553,9.2444,9.3397,5227.59332241,48665.272934396825
1651104000,2022-04-28 00:00:00,HT/USDT,9.2947,9.4879,9.2947,9.454,1028.98160154,9679.192627786794
1651017600,2022-04-27 00:00:00,HT/USDT,9.0721,9.3601,9.0721,9.349,1931.4973196,17942.754689355127
1650931200,2022-04-26 00:00:00,HT/USDT,9.4641,9.4665,9.0634,9.0721,3286.39221031,30551.946712918737
1650844800,2022-04-25 00:00:00,HT/USDT,9.423,9.4716,9.2439,9.461,4426.01139071,41416.784185420986
1650758400,2022-04-24 00:00:00,HT/USDT,9.4095,9.4744,9.3769,9.4496,3271.21412111,30817.199548063658
1650672000,2022-04-23 00:00:00,HT/USDT,9.4366,9.49,9.3819,9.4219,4995.83958329,47218.890338432314
1650585600,2022-04-22 00:00:00,HT/USDT,9.4103,9.5001,9.3821,9.4417,1909.63676224,18045.305238347139
1650499200,2022-04-21 00:00:00,HT/USDT,9.4473,9.5703,9.3371,9.3953,3814.95769896,36172.263445359397
1650412800,2022-04-20 00:00:00,HT/USDT,9.4604,9.5202,9.3954,9.4438,2889.18046324,27351.453933416827
1650326400,2022-04-19 00:00:00,HT/USDT,9.3876,9.5,9.2876,9.4603,25010.66150525,235138.36222601314
1650240000,2022-04-18 00:00:00,HT/USDT,9.2923,9.4391,9.1163,9.3506,4930.66425438,45755.686185137927
1650153600,2022-04-17 00:00:00,HT/USDT,9.3911,9.4597,9.2757,9.295,5699.1213592,53281.458670672313
1650067200,2022-04-16 00:00:00,HT/USDT,9.4691,9.479,9.3269,9.3915,5325.92877429,50105.602668098719
1649980800,2022-04-15 00:00:00,HT/USDT,9.45,9.6451,9.3013,9.4692,9029.30510419,85414.619007123492
1649894400,2022-04-14 00:00:00,HT/USDT,9.3995,9.5242,9.2986,9.45,7455.70213778,70053.216359983766
1649808000,2022-04-13 00:00:00,HT/USDT,9.3048,9.3976,9.2185,9.3976,4113.14180738,38349.525276065714
1649721600,2022-04-12 00:00:00,HT/USDT,9.2972,9.3552,9.139,9.3109,7407.64276396,68571.136827364833
1649635200,2022-04-11 00:00:00,HT/USDT,9.4772,9.5472,9.1325,9.2586,16788.8985322,157446.820828642604
1649548800,2022-04-10 00:00:00,HT/USDT,9.4614,9.5998,9.441,9.4792,8984.85639594,85475.436521564993
1649462400,2022-04-09 00:00:00,HT/USDT,9.2747,9.4939,9.2747,9.4628,9436.11856053,88676.647519067069
1649376000,2022-04-08 00:00:00,HT/USDT,9.3364,9.3873,9.1971,9.2767,7624.02423582,70963.675039938948
1649289600,2022-04-07 00:00:00,HT/USDT,9.0085,9.3728,9.0002,9.3574,11931.60315399,109538.511000829834
