https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GMT,Volume USDT
1649721600,2022-04-12 00:00:00,GMT/USDT,2.3877,2.399,2.123,2.2144,8949337.0004558,19881219.473107077051
1649635200,2022-04-11 00:00:00,GMT/USDT,2.258,2.675,2.2424,2.3868,14682779.48204736,36163780.673763137502
1649548800,2022-04-10 00:00:00,GMT/USDT,2.3019,2.3939,2.2078,2.2575,7621697.8586495,17620896.177433278062
1649462400,2022-04-09 00:00:00,GMT/USDT,2.1775,2.3264,2.1022,2.3023,6953357.875533,15409728.909577569244
1649376000,2022-04-08 00:00:00,GMT/USDT,2.1916,2.4415,2.0933,2.177,10505197.45713922,23346531.869669871264
1649289600,2022-04-07 00:00:00,GMT/USDT,2.328,2.3695,2.01,2.1922,8788440.9633495,19099698.962675654499
1649203200,2022-04-06 00:00:00,GMT/USDT,2.1316,2.7042,2.117,2.3304,22262279.78774303,53979516.078239406994
1649116800,2022-04-05 00:00:00,GMT/USDT,2.1666,2.3258,2.0877,2.1337,9114578.37741031,20159921.525406337479
1649030400,2022-04-04 00:00:00,GMT/USDT,2.4528,2.556,2.054,2.1664,7387935.92306062,16869437.830573156664
1648944000,2022-04-03 00:00:00,GMT/USDT,2.3123,2.743,2.2449,2.4536,10101304.04971578,25037047.278558774223
1648857600,2022-04-02 00:00:00,GMT/USDT,2.69,2.8923,2.2694,2.313,14362369.67609829,37087572.585381177046
1648771200,2022-04-01 00:00:00,GMT/USDT,2.489,3.1314,2.3788,2.6894,26794411.60281369,76327284.629969283008
1648684800,2022-03-31 00:00:00,GMT/USDT,2.0366,2.645,1.7812,2.4897,27841054.80318297,63235492.403092705149
1648598400,2022-03-30 00:00:00,GMT/USDT,1.6792,2.3109,1.6127,2.0366,29874033.80454126,60188719.402864980468
1648512000,2022-03-29 00:00:00,GMT/USDT,1.1315,1.8718,1.0318,1.6793,17495255.78631796,25256854.466674597036
1648425600,2022-03-28 00:00:00,GMT/USDT,0.7698,1.1469,0.7649,1.1315,9350122.79123311,9208140.311949547757
1648339200,2022-03-27 00:00:00,GMT/USDT,0.765,0.7933,0.7368,0.7717,1725036.33023455,1319336.385282759023
1648252800,2022-03-26 00:00:00,GMT/USDT,0.7812,0.8385,0.7515,0.7656,3423994.46626459,2692091.840806659002
1648166400,2022-03-25 00:00:00,GMT/USDT,0.7018,0.7985,0.6738,0.781,3993334.81789999,2967624.654352295092
1648080000,2022-03-24 00:00:00,GMT/USDT,0.7693,0.7947,0.6932,0.6985,2266596.77140623,1712159.435624331128
1647993600,2022-03-23 00:00:00,GMT/USDT,0.8044,0.82,0.7341,0.7675,4529155.8406384,3472132.553317066518
1647907200,2022-03-22 00:00:00,GMT/USDT,0.8002,0.8965,0.7551,0.8068,6598260.23064438,5318790.632837543622
1647820800,2022-03-21 00:00:00,GMT/USDT,0.5788,0.8321,0.5764,0.8006,7500653.98219814,5602628.801593061875
1647734400,2022-03-20 00:00:00,GMT/USDT,0.6727,0.705,0.5748,0.5775,1259443.36841445,794030.382413969789
1647648000,2022-03-19 00:00:00,GMT/USDT,0.698,0.7757,0.652,0.6735,2820258.41362126,2002801.744130654377
1647561600,2022-03-18 00:00:00,GMT/USDT,0.469,0.85,0.469,0.6985,5167853.69424338,3760819.522322386174
