https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STX,Volume USDT
1649894400,2022-04-14 00:00:00,STX/USDT,1.2068,1.2731,1.1682,1.184,377043.42401397,460162.431886601253
1649808000,2022-04-13 00:00:00,STX/USDT,1.1562,1.2274,1.1386,1.2067,328416.44488055,389376.875093900316
1649721600,2022-04-12 00:00:00,STX/USDT,1.1174,1.1827,1.1174,1.1571,457897.98213482,525916.860361904903
1649635200,2022-04-11 00:00:00,STX/USDT,1.2229,1.2445,1.1104,1.1173,506292.57459061,589635.350089619441
1649548800,2022-04-10 00:00:00,STX/USDT,1.2768,1.285,1.2228,1.2256,258099.64406329,324504.461165681109
1649462400,2022-04-09 00:00:00,STX/USDT,1.2367,1.338,1.234,1.2759,363010.7662136,465723.911522069987
1649376000,2022-04-08 00:00:00,STX/USDT,1.299,1.3116,1.2205,1.2353,248065.9926881,313582.97968763206
1649289600,2022-04-07 00:00:00,STX/USDT,1.2554,1.3069,1.2316,1.299,289674.88314014,370304.659031962643
1649203200,2022-04-06 00:00:00,STX/USDT,1.4037,1.405,1.2533,1.2558,536119.16953713,710247.217610581788
1649116800,2022-04-05 00:00:00,STX/USDT,1.4563,1.4759,1.4037,1.4037,335787.29869048,484266.220418909643
1649030400,2022-04-04 00:00:00,STX/USDT,1.5308,1.5386,1.4023,1.4591,473148.10986325,696040.034243575495
1648944000,2022-04-03 00:00:00,STX/USDT,1.4899,1.5714,1.475,1.5305,788476.70951298,1197038.01058964783
1648857600,2022-04-02 00:00:00,STX/USDT,1.46,1.5471,1.4584,1.4877,531091.68571865,794391.647582082548
1648771200,2022-04-01 00:00:00,STX/USDT,1.4415,1.4663,1.3852,1.4605,368802.13733354,527251.151461205064
1648684800,2022-03-31 00:00:00,STX/USDT,1.5128,1.6,1.4153,1.4389,786742.2756949,1189149.226838640909
1648598400,2022-03-30 00:00:00,STX/USDT,1.4505,1.5602,1.4113,1.5128,1345480.1228913,2005311.10090061364
1648512000,2022-03-29 00:00:00,STX/USDT,1.4154,1.5187,1.4125,1.4506,1074005.42151218,1571700.550259292136
1648425600,2022-03-28 00:00:00,STX/USDT,1.4448,1.5841,1.3962,1.4177,839371.70259033,1224431.161015222782
1648339200,2022-03-27 00:00:00,STX/USDT,1.3598,1.4494,1.3527,1.4448,588499.87086985,825693.888445703104
1648252800,2022-03-26 00:00:00,STX/USDT,1.344,1.3691,1.3361,1.3596,429989.99228606,579384.184223539978
1648166400,2022-03-25 00:00:00,STX/USDT,1.3697,1.3992,1.3272,1.3458,302048.68574858,411363.335751988783
1648080000,2022-03-24 00:00:00,STX/USDT,1.3393,1.3899,1.3284,1.3726,536697.7553132,730058.536368029754
1647993600,2022-03-23 00:00:00,STX/USDT,1.3064,1.4764,1.2839,1.339,833401.13586814,1133516.704193007422
1647907200,2022-03-22 00:00:00,STX/USDT,1.2948,1.3225,1.2789,1.3071,300882.38010098,393725.829699778155
1647820800,2022-03-21 00:00:00,STX/USDT,1.2613,1.3257,1.2571,1.2983,478987.4354631,620072.341493418136
1647734400,2022-03-20 00:00:00,STX/USDT,1.3147,1.3147,1.2517,1.2598,220523.0518716,281762.7909977622
1647648000,2022-03-19 00:00:00,STX/USDT,1.2951,1.332,1.2881,1.3159,441334.80449875,576668.942720071046
1647561600,2022-03-18 00:00:00,STX/USDT,1.2694,1.3597,1.2246,1.2946,590775.68841304,759120.474241865615
1647475200,2022-03-17 00:00:00,STX/USDT,1.2725,1.2754,1.2388,1.2703,240764.493137,302085.739139694561
