https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APE,Volume USD
1650081600000,2022-04-16 04:00:00,APE/USD,12.151,12.196,11.286,11.535,78382.666303,904144.055805105
1649995200000,2022-04-15 04:00:00,APE/USD,12.476,12.608,12.003,12.151,62779.086915,762828.685104165
1649908800000,2022-04-14 04:00:00,APE/USD,13.081,13.552,11.93,12.476,151967.704632,1895949.0829888321
1649822400000,2022-04-13 04:00:00,APE/USD,12.13,13.453,12.13,13.081,104058.755814,1361192.584802934
1649736000000,2022-04-12 04:00:00,APE/USD,10.891,12.2,10.883,12.13,191529.346444,2323250.97236572
1649649600000,2022-04-11 04:00:00,APE/USD,11.388,11.495,10.676,10.891,202660.507933,2207175.591898303
1649563200000,2022-04-10 04:00:00,APE/USD,11.165,12.379,10.836,11.388,183291.825017,2087327.303293596
1649476800000,2022-04-09 04:00:00,APE/USD,10.898,11.278,10.607,11.165,72329.790216,807562.1077616399
1649390400000,2022-04-08 04:00:00,APE/USD,11.409,11.545,10.676,10.898,159422.888192,1737390.635516416
1649304000000,2022-04-07 04:00:00,APE/USD,11.133,11.6,10.698,11.409,171488.35919,1956510.68999871
1649217600000,2022-04-06 04:00:00,APE/USD,11.677,11.677,10.534,11.133,144166.910174,1605010.2109671417
1649131200000,2022-04-05 04:00:00,APE/USD,12.301,12.789,11.22,11.677,178355.562183,2082657.899610891
1649044800000,2022-04-04 04:00:00,APE/USD,12.279,12.344,11.173,12.301,140170.725888,1724240.099148288
1648958400000,2022-04-03 04:00:00,APE/USD,12.572,12.906,11.898,12.279,137442.705038,1687658.9751616018
1648872000000,2022-04-02 04:00:00,APE/USD,13.012,13.815,12.359,12.572,119203.281608,1498623.656375776
1648785600000,2022-04-01 04:00:00,APE/USD,12.633,13.589,12.413,13.012,93802.761611,1220561.534082332
1648699200000,2022-03-31 04:00:00,APE/USD,14.028,14.122,12.253,12.633,137537.609505,1737512.620876665
1648612800000,2022-03-30 04:00:00,APE/USD,13.369,14.375,13.369,14.028,57964.926893,813131.9944550041
1648526400000,2022-03-29 04:00:00,APE/USD,14.236,14.6,13.057,13.369,157516.094564,2105832.668226116
1648440000000,2022-03-28 04:00:00,APE/USD,15.227,15.479,13.698,14.236,270062.806069,3844614.107198284
1648353600000,2022-03-27 04:00:00,APE/USD,13.545,15.613,13.392,15.227,166787.216683,2539668.9484320413
1648267200000,2022-03-26 04:00:00,APE/USD,12.828,14.274,12.627,13.545,158960.717969,2153122.9248901047
1648180800000,2022-03-25 04:00:00,APE/USD,12.927,13.693,12.245,12.828,180399.819042,2314168.878670776
1648094400000,2022-03-24 04:00:00,APE/USD,13.665,14.461,12.625,12.927,202183.428797,2613625.184058819
1648008000000,2022-03-23 04:00:00,APE/USD,11.731,14.066,11.731,13.665,114144.61866,1559786.2139888997
1647921600000,2022-03-22 04:00:00,APE/USD,11.333,12.845,10.579,11.731,314336.70528,3687483.88963968
1647835200000,2022-03-21 04:00:00,APE/USD,10.239,11.627,9.783,11.333,165528.115631,1875930.134446123
1647748800000,2022-03-20 04:00:00,APE/USD,11.506,11.925,9.511,10.239,416347.313561,4262980.14355108
1647662400000,2022-03-19 04:00:00,APE/USD,14.099,14.5,11.192,11.506,364794.693347,4197327.741650582
1647576000000,2022-03-18 04:00:00,APE/USD,11.208,18.0,10.549,14.099,1089411.914913,15359618.588358387
1647489600000,2022-03-17 04:00:00,APE/USD,0.0,20.0,0.0,11.208,1295248.17005,14517141.489920402
1647403200000,2022-03-16 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647316800000,2022-03-15 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647230400000,2022-03-14 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647144000000,2022-03-13 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647057600000,2022-03-12 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1646971200000,2022-03-11 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1646884800000,2022-03-10 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1646798400000,2022-03-09 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1646712000000,2022-03-08 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1646625600000,2022-03-07 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1646539200000,2022-03-06 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1646452800000,2022-03-05 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1646366400000,2022-03-04 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1646280000000,2022-03-03 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1646193600000,2022-03-02 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1646107200000,2022-03-01 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1646020800000,2022-02-28 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1645934400000,2022-02-27 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1645848000000,2022-02-26 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1645761600000,2022-02-25 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
1645675200000,2022-02-24 04:00:00,APE/USD,0.0,0.0,0.0,0.0,0.0,0.0
