https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1653364800000,2022-05-24 04:00:00,GALA/USD,0.08197,0.08456,0.07619,0.08308,2635836.912357,218985.3306786196
1653278400000,2022-05-23 04:00:00,GALA/USD,0.08771,0.09119,0.079,0.08197,1393809.910235,114250.59834196296
1653192000000,2022-05-22 04:00:00,GALA/USD,0.08378,0.0902,0.08153,0.08771,468551.849985,41096.68276218435
1653105600000,2022-05-21 04:00:00,GALA/USD,0.08281,0.08614,0.08031,0.08378,988848.524316,82845.72936719448
1653019200000,2022-05-20 04:00:00,GALA/USD,0.08374,0.08486,0.07747,0.08281,1244871.499497,103087.80887334656
1652932800000,2022-05-19 04:00:00,GALA/USD,0.07863,0.08762,0.07595,0.08374,1392988.886965,116648.8893944491
1652846400000,2022-05-18 04:00:00,GALA/USD,0.0864,0.08795,0.07473,0.07863,2463268.970217,193686.83912816274
1652760000000,2022-05-17 04:00:00,GALA/USD,0.08999,0.09249,0.08386,0.0864,1139217.219752,98428.3677865728
1652673600000,2022-05-16 04:00:00,GALA/USD,0.09258,0.09277,0.08454,0.08999,1314722.325349,118311.86205815652
1652587200000,2022-05-15 04:00:00,GALA/USD,0.09447,0.10194,0.09013,0.09258,2411753.295617,223280.12010822186
1652500800000,2022-05-14 04:00:00,GALA/USD,0.09731,0.10306,0.08112,0.09447,2791698.024625,263731.7123863238
1652414400000,2022-05-13 04:00:00,GALA/USD,0.08926,0.14071,0.08617,0.09731,4968408.663209,483475.8470168677
1652328000000,2022-05-12 04:00:00,GALA/USD,0.05891,0.10112,0.048,0.08926,6980903.545271,623115.4504508895
1652241600000,2022-05-11 04:00:00,GALA/USD,0.10689,0.10689,0.05858,0.05891,3652656.671403,215178.00451235072
1652155200000,2022-05-10 04:00:00,GALA/USD,0.10901,0.12398,0.10286,0.10689,3032225.982027,324114.635218866
1652068800000,2022-05-09 04:00:00,GALA/USD,0.12841,0.12964,0.10159,0.10901,4603404.88828,501817.16687140276
1651982400000,2022-05-08 04:00:00,GALA/USD,0.13344,0.13672,0.126,0.12841,1099955.475587,141245.28262012664
1651896000000,2022-05-07 04:00:00,GALA/USD,0.13914,0.14164,0.13,0.13344,1029712.936453,137404.89424028833
1651809600000,2022-05-06 04:00:00,GALA/USD,0.13782,0.14818,0.13285,0.13914,1114624.88195,155088.90607452302
1651723200000,2022-05-05 04:00:00,GALA/USD,0.16028,0.16122,0.13269,0.13782,1583037.473156,218174.2245503599
1651636800000,2022-05-04 04:00:00,GALA/USD,0.14404,0.16574,0.13749,0.16028,2085753.442509,334304.56176534254
1651550400000,2022-05-03 04:00:00,GALA/USD,0.13908,0.14789,0.13283,0.14404,1093676.964097,157533.22990853188
1651464000000,2022-05-02 04:00:00,GALA/USD,0.14037,0.14364,0.13261,0.13908,480568.610741,66837.48238185828
1651377600000,2022-05-01 04:00:00,GALA/USD,0.13567,0.14465,0.13147,0.14037,1595408.391917,223947.4759733893
1651291200000,2022-04-30 04:00:00,GALA/USD,0.15577,0.15757,0.1206,0.13567,2521965.194249,342155.0179037619
1651204800000,2022-04-29 04:00:00,GALA/USD,0.16621,0.16936,0.15229,0.15577,1008572.218637,157105.29449708547
1651118400000,2022-04-28 04:00:00,GALA/USD,0.17054,0.17497,0.165,0.16621,875681.765864,145547.06630425542
1651032000000,2022-04-27 04:00:00,GALA/USD,0.16681,0.17411,0.16617,0.17054,844652.974981,144047.11835325972
