https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTM,Volume USD
1649822400000,2022-04-13 04:00:00,FTM/USD,1.1647,1.22,1.1647,1.208,186372.541486,225138.03011508798
1649736000000,2022-04-12 04:00:00,FTM/USD,1.1341,1.1897,1.1219,1.1647,1009178.440243,1175390.1293510222
1649649600000,2022-04-11 04:00:00,FTM/USD,1.2175,1.2334,1.1026,1.1341,1263585.929378,1433032.80250759
1649563200000,2022-04-10 04:00:00,FTM/USD,1.2922,1.3257,1.2037,1.2175,693677.105309,844551.8757137075
1649476800000,2022-04-09 04:00:00,FTM/USD,1.2608,1.3049,1.2463,1.2922,342430.319507,442488.45886694535
1649390400000,2022-04-08 04:00:00,FTM/USD,1.3624,1.3768,1.2348,1.2608,1117691.738077,1409185.7433674815
1649304000000,2022-04-07 04:00:00,FTM/USD,1.3154,1.3802,1.3014,1.3624,820522.664809,1117880.0785357817
1649217600000,2022-04-06 04:00:00,FTM/USD,1.4204,1.4204,1.2813,1.3154,1233992.440584,1623193.6563441935
1649131200000,2022-04-05 04:00:00,FTM/USD,1.5717,1.5804,1.3379,1.4204,2085908.618643,2962824.6019205176
1649044800000,2022-04-04 04:00:00,FTM/USD,1.5872,1.6165,1.4752,1.5717,1278439.334503,2009323.102038365
1648958400000,2022-04-03 04:00:00,FTM/USD,1.5694,1.6561,1.5647,1.5872,783168.326225,1243044.7673843198
1648872000000,2022-04-02 04:00:00,FTM/USD,1.6279,1.6816,1.5156,1.5694,1636722.19215,2568671.8083602097
1648785600000,2022-04-01 04:00:00,FTM/USD,1.4591,1.6506,1.4572,1.6279,2304902.330887,3752150.504450947
1648699200000,2022-03-31 04:00:00,FTM/USD,1.4365,1.533,1.406,1.4591,2174476.371923,3172778.4742728495
1648612800000,2022-03-30 04:00:00,FTM/USD,1.4119,1.4554,1.3994,1.4365,638237.584759,916828.2905063035
1648526400000,2022-03-29 04:00:00,FTM/USD,1.4211,1.4811,1.3657,1.4119,1085746.993527,1532966.1801607714
1648440000000,2022-03-28 04:00:00,FTM/USD,1.4495,1.4889,1.3814,1.4211,2047646.2721,2909910.11728131
1648353600000,2022-03-27 04:00:00,FTM/USD,1.3874,1.4562,1.3493,1.4495,1731788.017495,2510226.7313590026
1648267200000,2022-03-26 04:00:00,FTM/USD,1.3559,1.4158,1.3553,1.3874,767247.393454,1064479.0336780795
