https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AMP,Volume USD
1652500800000,2022-05-14 04:00:00,AMP/USD,0.01373,0.01456,0.01272,0.01313,76785817.355842,1008197.7818822053
1652414400000,2022-05-13 04:00:00,AMP/USD,0.01276,0.0147,0.01239,0.01373,137755281.090297,1891380.009369778
1652328000000,2022-05-12 04:00:00,AMP/USD,0.01046,0.013,0.00931,0.01276,237146175.152413,3025985.19494479
1652241600000,2022-05-11 04:00:00,AMP/USD,0.01323,0.01323,0.0101,0.01046,144706260.141729,1513627.4810824853
1652155200000,2022-05-10 04:00:00,AMP/USD,0.01385,0.01493,0.01305,0.01323,104046292.242787,1376532.4463720722
1652068800000,2022-05-09 04:00:00,AMP/USD,0.01753,0.01767,0.0131,0.01385,190298815.368384,2635638.5928521184
1651982400000,2022-05-08 04:00:00,AMP/USD,0.0178,0.01802,0.01748,0.01753,15719733.917621,275566.9355758961
1651896000000,2022-05-07 04:00:00,AMP/USD,0.01799,0.01826,0.01772,0.0178,16156481.212166,287585.3655765548
1651809600000,2022-05-06 04:00:00,AMP/USD,0.01797,0.01827,0.01757,0.01799,23941598.5781,430709.358420019
1651723200000,2022-05-05 04:00:00,AMP/USD,0.01948,0.01954,0.01762,0.01797,38243939.71627,687243.5967013718
1651636800000,2022-05-04 04:00:00,AMP/USD,0.01826,0.0204,0.0181,0.01948,55334950.766992,1077924.8409410042
1651550400000,2022-05-03 04:00:00,AMP/USD,0.01825,0.0188,0.01797,0.01826,19268164.234378,351836.67891974223
1651464000000,2022-05-02 04:00:00,AMP/USD,0.01925,0.01932,0.01804,0.01825,32534864.935801,593761.2850783681
1651377600000,2022-05-01 04:00:00,AMP/USD,0.01919,0.01976,0.01882,0.01925,26768342.972343,515290.6022176028
1651291200000,2022-04-30 04:00:00,AMP/USD,0.01994,0.02037,0.01912,0.01919,31277266.42113,600210.7426214847
1651204800000,2022-04-29 04:00:00,AMP/USD,0.0208,0.02083,0.01988,0.01994,42109593.907559,839665.3025167264
1651118400000,2022-04-28 04:00:00,AMP/USD,0.0212,0.02202,0.0206,0.0208,34155060.610757,710425.2607037455
1651032000000,2022-04-27 04:00:00,AMP/USD,0.02096,0.0225,0.02096,0.0212,30528767.629352,647209.8737422624
1650945600000,2022-04-26 04:00:00,AMP/USD,0.02156,0.02222,0.02051,0.02096,58508583.35289,1226339.9070765744
1650859200000,2022-04-25 04:00:00,AMP/USD,0.02231,0.02331,0.02136,0.02156,98166259.991281,2116464.5654120184
1650772800000,2022-04-24 04:00:00,AMP/USD,0.02205,0.0226,0.0211,0.02231,69331642.139324,1546788.9361283183
1650686400000,2022-04-23 04:00:00,AMP/USD,0.02227,0.02272,0.02191,0.02205,57046818.803544,1257882.3546181452
