https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SNX,Volume USD
1646712000000,2022-03-08 04:00:00,SNX/USD,3.8014,4.3646,3.8014,4.3231,39827.421434,172177.92560132543
1646625600000,2022-03-07 04:00:00,SNX/USD,3.4701,3.8014,3.4594,3.8014,16612.129113,63149.3476101582
1646539200000,2022-03-06 04:00:00,SNX/USD,3.7882,3.8327,3.4665,3.4701,9955.919956,34548.0378393156
1646452800000,2022-03-05 04:00:00,SNX/USD,3.6255,4.1682,3.5918,3.7882,30095.806416,114008.9338650912
1646366400000,2022-03-04 04:00:00,SNX/USD,3.6999,3.8121,3.543,3.6255,12394.817303,44937.4101320265
1646280000000,2022-03-03 04:00:00,SNX/USD,3.9143,3.9677,3.6342,3.6999,22659.947004,83839.53792009961
1646193600000,2022-03-02 04:00:00,SNX/USD,4.1979,4.1979,3.8777,3.9143,5540.428162,21686.8979545166
1646107200000,2022-03-01 04:00:00,SNX/USD,4.1202,4.3283,4.0261,4.1979,19151.388455,80395.61359524449
1646020800000,2022-02-28 04:00:00,SNX/USD,3.7391,4.2478,3.6306,4.1202,17168.896235,70739.286267447
1645934400000,2022-02-27 04:00:00,SNX/USD,3.7338,4.1019,3.6728,3.7391,8061.979502,30144.547555928202
1645848000000,2022-02-26 04:00:00,SNX/USD,4.0443,4.0831,3.7093,3.7338,20571.468697,76809.7498208586
1645761600000,2022-02-25 04:00:00,SNX/USD,4.0114,4.1662,3.9143,4.0443,39345.90866,159126.658393638
1645675200000,2022-02-24 04:00:00,SNX/USD,3.4952,4.034,3.4952,4.0114,3524.260483,14137.2185015062
1645588800000,2022-02-23 04:00:00,SNX/USD,3.9636,4.1649,3.4952,3.4952,63878.478086,223268.05660618722
1645502400000,2022-02-22 04:00:00,SNX/USD,3.6664,4.034,3.6664,3.9636,28928.440872,114660.7682402592
1645416000000,2022-02-21 04:00:00,SNX/USD,4.146,4.2628,3.6423,3.6664,12529.591385,45938.493853964
1645329600000,2022-02-20 04:00:00,SNX/USD,4.2445,4.2628,3.9698,4.146,12744.515354,52838.760657684
1645243200000,2022-02-19 04:00:00,SNX/USD,4.4366,4.4577,4.2,4.2445,16279.367636,69097.775931002
1645156800000,2022-02-18 04:00:00,SNX/USD,4.6158,4.6848,4.3327,4.4366,4592.116631,20373.3846450946
1645070400000,2022-02-17 04:00:00,SNX/USD,4.9035,4.9725,4.5381,4.6158,29258.05614,135049.335531012
1644984000000,2022-02-16 04:00:00,SNX/USD,5.0098,5.0236,4.8712,4.9035,13021.173981,63849.3266158335
1644897600000,2022-02-15 04:00:00,SNX/USD,4.7675,5.1332,4.7275,5.0098,15431.672575,77309.59326623501
1644811200000,2022-02-14 04:00:00,SNX/USD,4.4311,4.7849,4.3776,4.7675,10099.245194,48148.151462395
1644724800000,2022-02-13 04:00:00,SNX/USD,4.8534,4.9234,4.3591,4.4311,22044.295948,97680.47977518279
1644638400000,2022-02-12 04:00:00,SNX/USD,4.8575,5.0634,4.7005,4.8534,7705.412638,37397.4496972692
1644552000000,2022-02-11 04:00:00,SNX/USD,5.2208,5.3603,4.7456,4.8575,12485.046585,60646.1137866375
1644465600000,2022-02-10 04:00:00,SNX/USD,5.6279,5.7502,5.146,5.2208,24131.181478,125984.07226034238
1644379200000,2022-02-09 04:00:00,SNX/USD,5.38,5.8177,5.38,5.6279,760.268279,4278.7138473841005
1644292800000,2022-02-08 04:00:00,SNX/USD,5.8208,6.0688,5.3535,5.38,17196.549485,92517.4362293
1644206400000,2022-02-07 04:00:00,SNX/USD,5.8524,5.9758,5.678,5.8208,45703.922838,266033.3940554304
1644120000000,2022-02-06 04:00:00,SNX/USD,5.7221,5.857,5.5228,5.8524,8331.310533,48758.161763329204
