https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SAND,Volume USD
1649822400000,2022-04-13 04:00:00,SAND/USD,2.80739,2.91763,2.80739,2.88078,89832.103498,258786.52711496843
1649736000000,2022-04-12 04:00:00,SAND/USD,2.7042,2.83467,2.69372,2.80739,238824.054022,670472.2610208226
1649649600000,2022-04-11 04:00:00,SAND/USD,2.85252,2.87081,2.64616,2.7042,428432.893821,1158568.2314707483
1649563200000,2022-04-10 04:00:00,SAND/USD,2.98771,3.02819,2.83685,2.85252,125191.424296,357111.0416328259
1649476800000,2022-04-09 04:00:00,SAND/USD,2.93698,3.01315,2.92853,2.98771,128211.23353,383057.98452991626
1649390400000,2022-04-08 04:00:00,SAND/USD,3.09891,3.11196,2.86829,2.93698,185038.234083,543453.5927370894
1649304000000,2022-04-07 04:00:00,SAND/USD,3.00347,3.10574,2.9712,3.09891,242836.513876,752528.5012154753
1649217600000,2022-04-06 04:00:00,SAND/USD,3.18835,3.18835,2.89087,3.00347,229101.568854,688099.6890059235
1649131200000,2022-04-05 04:00:00,SAND/USD,3.46501,3.49162,3.07423,3.18835,461756.864893,1472242.5001815965
1649044800000,2022-04-04 04:00:00,SAND/USD,3.49553,3.56607,3.31417,3.46501,192884.203014,668345.6922855402
1648958400000,2022-04-03 04:00:00,SAND/USD,3.47,3.59596,3.4556,3.49553,234497.043925,819691.4519511553
1648872000000,2022-04-02 04:00:00,SAND/USD,3.62551,3.6739,3.38446,3.47,337346.570411,1170592.59932617
1648785600000,2022-04-01 04:00:00,SAND/USD,3.33481,3.68213,3.30023,3.62551,401004.254995,1453844.9365269225
1648699200000,2022-03-31 04:00:00,SAND/USD,3.69138,3.72929,3.24,3.33481,542420.044299,1808867.787928748
1648612800000,2022-03-30 04:00:00,SAND/USD,3.46833,3.86055,3.46833,3.69138,333820.172342,1232257.107779812
1648526400000,2022-03-29 04:00:00,SAND/USD,3.53771,3.65061,3.36325,3.46833,212150.597622,735808.2822503112
1648440000000,2022-03-28 04:00:00,SAND/USD,3.58666,3.81,3.43238,3.53771,529681.147367,1873858.2918517096
1648353600000,2022-03-27 04:00:00,SAND/USD,3.38609,3.59827,3.31757,3.58666,282272.266536,1012414.6474940098
1648267200000,2022-03-26 04:00:00,SAND/USD,3.37109,3.42573,3.3389,3.38609,132903.436192,450022.9962553692
1648180800000,2022-03-25 04:00:00,SAND/USD,3.4135,3.59,3.31757,3.37109,248741.11122,838528.6726226298
1648094400000,2022-03-24 04:00:00,SAND/USD,3.35876,3.49138,3.28855,3.4135,539816.090902,1842662.226293977
1648008000000,2022-03-23 04:00:00,SAND/USD,3.15274,3.53228,3.15274,3.35876,441767.258324,1483790.1965683184
1647921600000,2022-03-22 04:00:00,SAND/USD,3.14804,3.22364,3.06785,3.15274,189014.474523,595913.4944076431
1647835200000,2022-03-21 04:00:00,SAND/USD,3.03966,3.16646,3.03966,3.14804,83963.103281,264319.2076527192
1647748800000,2022-03-20 04:00:00,SAND/USD,3.17649,3.19685,2.99655,3.03966,143772.756449,437020.29686776735
1647662400000,2022-03-19 04:00:00,SAND/USD,3.15289,3.3,3.12963,3.17649,208122.079459,661097.7041807189
1647576000000,2022-03-18 04:00:00,SAND/USD,3.07502,3.24318,3.02189,3.15289,536522.508871,1691596.4529942875
1647489600000,2022-03-17 04:00:00,SAND/USD,3.22771,3.2746,3.06424,3.07502,607168.875398,1867056.4352263578
1647403200000,2022-03-16 04:00:00,SAND/USD,2.7193,3.36138,2.7193,3.22771,391415.719718,1263376.4326909857
1647316800000,2022-03-15 04:00:00,SAND/USD,2.70183,2.82649,2.67139,2.7193,152706.0032,415253.43450176
1647230400000,2022-03-14 04:00:00,SAND/USD,2.71904,2.77891,2.67119,2.70183,169506.830122,457978.63882852334
1647144000000,2022-03-13 04:00:00,SAND/USD,2.89227,2.89945,2.69,2.71904,368975.575476,1003259.3487422632
1647057600000,2022-03-12 04:00:00,SAND/USD,2.80149,2.93803,2.77148,2.89227,63536.79786,183765.57434654218
1646971200000,2022-03-11 04:00:00,SAND/USD,2.79245,2.86363,2.74639,2.80149,266470.949918,746515.7014857779
1646884800000,2022-03-10 04:00:00,SAND/USD,2.87656,2.87902,2.75851,2.79245,168133.542123,469504.50970137137
1646798400000,2022-03-09 04:00:00,SAND/USD,2.94966,2.98651,2.86776,2.87656,89582.161184,257688.46157544703
1646712000000,2022-03-08 04:00:00,SAND/USD,2.84822,2.97307,2.8134,2.94966,27248.001657,80372.34056758662
1646625600000,2022-03-07 04:00:00,SAND/USD,2.76965,2.94178,2.70868,2.84822,254224.035706,724085.9829785433
1646539200000,2022-03-06 04:00:00,SAND/USD,2.98186,2.9972,2.74985,2.76965,180414.140739,499684.0248977713
1646452800000,2022-03-05 04:00:00,SAND/USD,2.96717,3.05827,2.927,2.98186,99291.185475,296072.4143204835
1646366400000,2022-03-04 04:00:00,SAND/USD,3.01737,3.09508,2.8568,2.96717,206603.034609,613026.3262007865
1646280000000,2022-03-03 04:00:00,SAND/USD,3.17156,3.27664,2.97227,3.01737,858671.778677,2590930.4648266193
1646193600000,2022-03-02 04:00:00,SAND/USD,3.40585,3.40585,3.15196,3.17156,124225.372984,393988.22394113505
1646107200000,2022-03-01 04:00:00,SAND/USD,3.17971,3.43005,3.13,3.40585,639253.0713,2177200.072887105
1646020800000,2022-02-28 04:00:00,SAND/USD,2.86712,3.28497,2.84489,3.17971,772896.417039,2457586.466223079
1645934400000,2022-02-27 04:00:00,SAND/USD,2.96797,3.13945,2.83275,2.86712,227034.597661,650935.4356458064
1645848000000,2022-02-26 04:00:00,SAND/USD,3.20142,3.21797,2.92924,2.96797,262563.42006,779280.3538354782
1645761600000,2022-02-25 04:00:00,SAND/USD,3.05567,3.27911,2.9098,3.20142,526715.507317,1686237.5594347902
1645675200000,2022-02-24 04:00:00,SAND/USD,2.74709,3.09424,2.74709,3.05567,76454.81011,233620.66960882372
1645588800000,2022-02-23 04:00:00,SAND/USD,3.15235,3.29857,2.72077,2.74709,472957.733378,1299257.45978537
1645502400000,2022-02-22 04:00:00,SAND/USD,2.85481,3.26658,2.83554,3.15235,386645.302177,1218841.318317666
1645416000000,2022-02-21 04:00:00,SAND/USD,3.28498,3.41559,2.8212,2.85481,709011.965312,2024094.4486923509
1645329600000,2022-02-20 04:00:00,SAND/USD,3.38421,3.38973,3.15099,3.28498,447979.461216,1471603.5705053357
1645243200000,2022-02-19 04:00:00,SAND/USD,3.57571,3.64878,3.36797,3.38421,255619.6542,865070.5899401819
1645156800000,2022-02-18 04:00:00,SAND/USD,3.79579,3.84095,3.56159,3.57571,341242.025208,1220182.5219564976
1645070400000,2022-02-17 04:00:00,SAND/USD,4.07972,4.13254,3.69736,3.79579,485669.967702,1843501.2067035746
1644984000000,2022-02-16 04:00:00,SAND/USD,4.33113,4.33113,3.95,4.07972,236940.058678,966649.0961898102
1644897600000,2022-02-15 04:00:00,SAND/USD,4.13162,4.45659,4.0952,4.33113,308495.759682,1336135.2396315006
1644811200000,2022-02-14 04:00:00,SAND/USD,3.95883,4.18606,3.87,4.13162,411940.43102,1701981.3236108525
1644724800000,2022-02-13 04:00:00,SAND/USD,4.22634,4.2496,3.88542,3.95883,230099.015882,910922.887044138
1644638400000,2022-02-12 04:00:00,SAND/USD,4.27405,4.39521,4.1,4.22634,294087.004579,1242911.670932411
1644552000000,2022-02-11 04:00:00,SAND/USD,4.5024,4.54539,4.04905,4.27405,738587.269277,3156758.9182533617
1644465600000,2022-02-10 04:00:00,SAND/USD,4.63015,4.76638,4.32908,4.5024,720459.790319,3243798.1599322655
1644379200000,2022-02-09 04:00:00,SAND/USD,4.59722,4.72398,4.58167,4.63015,20927.001413,96895.15559240196
1644292800000,2022-02-08 04:00:00,SAND/USD,4.6626,4.86756,4.30351,4.59722,978285.256778,4497392.548164957
1644206400000,2022-02-07 04:00:00,SAND/USD,4.68493,4.8569,4.54368,4.6626,531927.173855,2480163.640816323
1644120000000,2022-02-06 04:00:00,SAND/USD,4.52158,4.76285,4.39187,4.68493,838877.503351,3930082.3817742
1644033600000,2022-02-05 04:00:00,SAND/USD,4.20146,4.68377,4.20146,4.52158,612496.536809,2769452.090904838
1643947200000,2022-02-04 04:00:00,SAND/USD,3.64855,4.229,3.63375,4.20146,487836.877063,2049627.1255051119
1643860800000,2022-02-03 04:00:00,SAND/USD,3.57236,3.69758,3.50566,3.64855,529496.745388,1931895.3503853877
1643774400000,2022-02-02 04:00:00,SAND/USD,3.93049,3.93049,3.53274,3.57236,370905.538107,1325008.1081119226
1643688000000,2022-02-01 04:00:00,SAND/USD,4.04922,4.09202,3.8734,3.93049,842022.855833,3309562.414623048
1643601600000,2022-01-31 04:00:00,SAND/USD,3.83487,4.16625,3.75616,4.04922,438160.483823,1774208.194305768
1643515200000,2022-01-30 04:00:00,SAND/USD,4.01008,4.05908,3.63944,3.83487,633291.950947,2428592.3039281215
1643428800000,2022-01-29 04:00:00,SAND/USD,3.60397,4.08146,3.6028,4.01008,776467.414801,3113696.4507451947
1643342400000,2022-01-28 04:00:00,SAND/USD,3.53044,3.64603,3.2586,3.60397,552302.518557,1990481.7078038712
1643256000000,2022-01-27 04:00:00,SAND/USD,2.99977,3.55415,2.98253,3.53044,549836.631797,1941165.2383614006
1643169600000,2022-01-26 04:00:00,SAND/USD,3.18274,3.43731,2.96845,2.99977,422271.724601,1266718.0513063418
1643083200000,2022-01-25 04:00:00,SAND/USD,2.94574,3.23819,2.87391,3.18274,491427.822497,1564086.9877741018
1642996800000,2022-01-24 04:00:00,SAND/USD,2.96063,3.05486,2.6275,2.94574,719260.149621,2118753.3931445647
1642910400000,2022-01-23 04:00:00,SAND/USD,3.07034,3.2471,2.92391,2.96063,357580.503516,1058663.5661245752
1642824000000,2022-01-22 04:00:00,SAND/USD,3.32166,3.33891,2.5571,3.07034,1073486.379527,3295968.170516929
1642737600000,2022-01-21 04:00:00,SAND/USD,3.69325,3.80757,3.2,3.32166,1039519.153668,3452929.191972849
1642651200000,2022-01-20 04:00:00,SAND/USD,4.24037,4.45335,3.66152,3.69325,957087.724791,3534764.2395843607
1642564800000,2022-01-19 04:00:00,SAND/USD,4.32259,4.32259,4.15,4.24037,169522.071984,718836.3083787942
1642478400000,2022-01-18 04:00:00,SAND/USD,4.53034,4.54827,4.31261,4.32259,283257.296096,1224405.1555316087
1642392000000,2022-01-17 04:00:00,SAND/USD,4.76482,4.81494,4.5,4.53034,481749.866969,2182490.6923243394
1642305600000,2022-01-16 04:00:00,SAND/USD,4.79533,5.06533,4.74439,4.76482,521108.103915,2482986.31569627
1642219200000,2022-01-15 04:00:00,SAND/USD,4.86778,4.92477,4.77,4.79533,360947.060674,1730860.2684618523
1642132800000,2022-01-14 04:00:00,SAND/USD,4.85323,4.97139,4.67885,4.86778,279991.775304,1362938.3639893052
1642046400000,2022-01-13 04:00:00,SAND/USD,4.9882,5.21048,4.78955,4.85323,541027.053602,2625728.7273528343
1641960000000,2022-01-12 04:00:00,SAND/USD,4.79499,5.19,4.79499,4.9882,572849.973182,2857490.2362264525
1641873600000,2022-01-11 04:00:00,SAND/USD,4.5168,4.83197,4.35961,4.79499,416187.22081,1995613.5619117422
1641787200000,2022-01-10 04:00:00,SAND/USD,4.70307,4.76944,4.21,4.5168,644243.695783,2909919.9251126545
1641700800000,2022-01-09 04:00:00,SAND/USD,4.6354,4.90571,4.60517,4.70307,235778.802286,1108884.211667218
1641614400000,2022-01-08 04:00:00,SAND/USD,4.88904,5.03646,4.45755,4.6354,440325.681327,2041085.6632231758
1641528000000,2022-01-07 04:00:00,SAND/USD,4.84417,5.07371,4.74,4.88904,557845.46466,2727328.7905413266
1641441600000,2022-01-06 04:00:00,SAND/USD,4.80401,5.40468,4.71096,4.84417,798607.988994,3868592.862045065
1641355200000,2022-01-05 04:00:00,SAND/USD,5.52164,5.52164,4.72289,4.80401,1080038.696083,5188516.696369693
1641268800000,2022-01-04 04:00:00,SAND/USD,5.53784,5.71446,5.4336,5.52164,335881.764834,1854618.1879780076
1641182400000,2022-01-03 04:00:00,SAND/USD,5.79975,5.87765,5.42028,5.53784,622861.417047,3449306.869779559
1641096000000,2022-01-02 04:00:00,SAND/USD,5.90591,5.99856,5.77626,5.79975,253099.630776,1467914.5835931061
1641009600000,2022-01-01 04:00:00,SAND/USD,5.95159,6.027,5.85154,5.90591,336520.207713,1987458.059934284
1640923200000,2021-12-31 04:00:00,SAND/USD,5.96328,6.17669,5.73992,5.95159,409878.536972,2439429.0018571853
1640836800000,2021-12-30 04:00:00,SAND/USD,5.63835,6.02579,5.63835,5.96328,318960.442457,1902050.427294979
1640750400000,2021-12-29 04:00:00,SAND/USD,6.07092,6.1179,5.57933,5.63835,1191657.774674,6718983.613833148
