https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USD
1653105600000,2022-05-21 04:00:00,GRT/USD,0.1528,0.1617,0.1498,0.1578,223502.527605,35268.698856069
1653019200000,2022-05-20 04:00:00,GRT/USD,0.1599,0.1626,0.1459,0.1528,443559.936847,67775.9583502216
1652932800000,2022-05-19 04:00:00,GRT/USD,0.1584,0.1655,0.1481,0.1599,772987.27368,123600.66506143198
1652846400000,2022-05-18 04:00:00,GRT/USD,0.1754,0.1781,0.1509,0.1584,2280764.385329,361273.07863611367
1652760000000,2022-05-17 04:00:00,GRT/USD,0.1864,0.1914,0.1683,0.1754,1062053.742097,186284.2263638138
1652673600000,2022-05-16 04:00:00,GRT/USD,0.1916,0.1923,0.1707,0.1864,904540.115631,168606.27755361842
1652587200000,2022-05-15 04:00:00,GRT/USD,0.1992,0.2081,0.1881,0.1916,526033.564412,100788.0309413392
1652500800000,2022-05-14 04:00:00,GRT/USD,0.1601,0.2,0.1437,0.1992,2781124.328368,553999.9662109056
1652414400000,2022-05-13 04:00:00,GRT/USD,0.1526,0.1756,0.1475,0.1601,1008366.439901,161439.4670281501
1652328000000,2022-05-12 04:00:00,GRT/USD,0.1353,0.1544,0.1136,0.1526,1696921.884767,258950.27961544425
1652241600000,2022-05-11 04:00:00,GRT/USD,0.2418,0.2418,0.135,0.1353,1842966.79959,249353.407984527
1652155200000,2022-05-10 04:00:00,GRT/USD,0.2417,0.2696,0.2343,0.2418,501414.592162,121242.0483847716
1652068800000,2022-05-09 04:00:00,GRT/USD,0.2925,0.2958,0.226,0.2417,1891091.957378,457076.9260982626
1651982400000,2022-05-08 04:00:00,GRT/USD,0.2894,0.3099,0.2886,0.2925,312830.406149,91502.89379858249
1651896000000,2022-05-07 04:00:00,GRT/USD,0.295,0.3043,0.2831,0.2894,166490.214523,48182.2680829562
1651809600000,2022-05-06 04:00:00,GRT/USD,0.2963,0.3008,0.281,0.295,371133.213618,109484.29801731
1651723200000,2022-05-05 04:00:00,GRT/USD,0.3413,0.3428,0.2866,0.2963,600463.935788,177917.4641739844
1651636800000,2022-05-04 04:00:00,GRT/USD,0.3189,0.3471,0.3109,0.3413,1274847.38061,435105.41100219305
1651550400000,2022-05-03 04:00:00,GRT/USD,0.3148,0.3377,0.3071,0.3189,685975.285373,218757.5185054497
