https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENJ,Volume USD
1652760000000,2022-05-17 04:00:00,ENJ/USD,0.7349,0.753,0.6947,0.711,222104.274223,157916.138972553
1652673600000,2022-05-16 04:00:00,ENJ/USD,0.7312,0.736,0.6818,0.7349,112722.603471,82839.8412908379
1652587200000,2022-05-15 04:00:00,ENJ/USD,0.7091,0.7725,0.699,0.7312,222148.977382,162435.3322617184
1652500800000,2022-05-14 04:00:00,ENJ/USD,0.7383,0.7496,0.644,0.7091,364937.688902,258777.3152004082
1652414400000,2022-05-13 04:00:00,ENJ/USD,0.6921,0.7803,0.6647,0.7383,446559.343506,329694.76331047976
1652328000000,2022-05-12 04:00:00,ENJ/USD,0.5585,0.7144,0.4559,0.6921,675965.670139,467835.840303202
1652241600000,2022-05-11 04:00:00,ENJ/USD,0.8084,0.8084,0.55,0.5585,355907.697647,198774.4491358495
1652155200000,2022-05-10 04:00:00,ENJ/USD,0.8069,0.9521,0.7701,0.8084,449684.341578,363524.8217316552
1652068800000,2022-05-09 04:00:00,ENJ/USD,0.9375,0.9497,0.7343,0.8069,301485.698851,243268.81040287187
1651982400000,2022-05-08 04:00:00,ENJ/USD,0.9718,0.9983,0.9246,0.9375,91692.088659,85961.3331178125
1651896000000,2022-05-07 04:00:00,ENJ/USD,1.024,1.0524,0.9564,0.9718,185974.432231,180729.95324208582
1651809600000,2022-05-06 04:00:00,ENJ/USD,1.0685,1.0718,1.013,1.024,57726.15246,59111.58011904
1651723200000,2022-05-05 04:00:00,ENJ/USD,1.1927,1.2012,1.0384,1.0685,237267.228632,253520.033793292
1651636800000,2022-05-04 04:00:00,ENJ/USD,1.079,1.2022,1.0659,1.1927,263969.641761,314836.5917283447
1651550400000,2022-05-03 04:00:00,ENJ/USD,1.0879,1.1263,1.0419,1.079,102159.277997,110229.86095876299
1651464000000,2022-05-02 04:00:00,ENJ/USD,1.09,1.1114,1.018,1.0879,146809.408642,159713.9556616318
1651377600000,2022-05-01 04:00:00,ENJ/USD,1.0649,1.1256,1.0533,1.09,135280.318895,147455.54759555002
1651291200000,2022-04-30 04:00:00,ENJ/USD,1.205,1.2222,1.0031,1.0649,195627.09127,208323.28949342298
1651204800000,2022-04-29 04:00:00,ENJ/USD,1.2675,1.2906,1.1769,1.205,126802.914998,152797.51257259
1651118400000,2022-04-28 04:00:00,ENJ/USD,1.2968,1.3253,1.266,1.2675,93217.421033,118153.08115932751
1651032000000,2022-04-27 04:00:00,ENJ/USD,1.2825,1.3134,1.2736,1.2968,39354.753768,51035.244686342405
1650945600000,2022-04-26 04:00:00,ENJ/USD,1.38,1.4194,1.259,1.2825,83147.487146,106636.652264745
1650859200000,2022-04-25 04:00:00,ENJ/USD,1.3484,1.396,1.2809,1.38,125737.776404,173518.13143752
1650772800000,2022-04-24 04:00:00,ENJ/USD,1.4121,1.4173,1.3162,1.3484,51041.492766,68824.34884567441
1650686400000,2022-04-23 04:00:00,ENJ/USD,1.4129,1.4458,1.3932,1.4121,63568.473012,89765.0407402452
1650600000000,2022-04-22 04:00:00,ENJ/USD,1.4588,1.4905,1.4101,1.4129,39457.096434,55748.9315515986
1650513600000,2022-04-21 04:00:00,ENJ/USD,1.5311,1.5559,1.4119,1.4588,83241.073217,121432.0776089596
1650427200000,2022-04-20 04:00:00,ENJ/USD,1.53,1.537,1.5114,1.5311,5616.8106,8599.89870966
1650340800000,2022-04-19 04:00:00,ENJ/USD,1.4388,1.5526,1.4388,1.53,254239.104948,388985.83057044
1650254400000,2022-04-18 04:00:00,ENJ/USD,1.4366,1.466,1.35,1.4388,82503.091793,118705.44847176841
1650168000000,2022-04-17 04:00:00,ENJ/USD,1.4897,1.5205,1.4174,1.4366,29351.202016,42165.936816185604
1650081600000,2022-04-16 04:00:00,ENJ/USD,1.5221,1.5358,1.474,1.4897,17856.401452,26600.681243044397
1649995200000,2022-04-15 04:00:00,ENJ/USD,1.5265,1.5377,1.4842,1.5221,51271.241172,78039.9561879012
1649908800000,2022-04-14 04:00:00,ENJ/USD,1.5956,1.599,1.4926,1.5265,95538.783083,145839.9523761995
1649822400000,2022-04-13 04:00:00,ENJ/USD,1.5557,1.6139,1.5557,1.5956,16088.743525,25671.19916849
