https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USD
1652932800000,2022-05-19 04:00:00,FIL/USD,7.7293,8.3066,7.6006,8.126,19578.228276,159092.682970776
1652846400000,2022-05-18 04:00:00,FIL/USD,8.2979,8.4009,7.3922,7.7293,132112.998937,1021141.0026837541
1652760000000,2022-05-17 04:00:00,FIL/USD,8.5949,8.8876,8.2098,8.2979,23382.409279,194024.8939562141
1652673600000,2022-05-16 04:00:00,FIL/USD,8.8596,8.8596,8.2085,8.5949,27629.883673,237476.08718106773
1652587200000,2022-05-15 04:00:00,FIL/USD,8.5616,9.2415,8.5088,8.8596,15430.380348,136706.99773114081
1652500800000,2022-05-14 04:00:00,FIL/USD,8.8902,8.9017,8.0464,8.5616,30720.127529,263013.44385228644
1652414400000,2022-05-13 04:00:00,FIL/USD,8.7461,9.4445,8.539,8.8902,95064.718834,845144.3633780268
1652328000000,2022-05-12 04:00:00,FIL/USD,7.5363,8.8211,6.45,8.7461,245535.430392,2147477.4277514713
1652241600000,2022-05-11 04:00:00,FIL/USD,11.1841,11.1841,7.5082,7.5363,120994.312582,911849.4379117265
1652155200000,2022-05-10 04:00:00,FIL/USD,11.466,12.4851,10.8489,11.1841,166957.040412,1867264.2356718495
1652068800000,2022-05-09 04:00:00,FIL/USD,12.7949,12.8666,10.556,11.466,169636.262611,1945049.387097726
1651982400000,2022-05-08 04:00:00,FIL/USD,13.0877,13.4298,12.6655,12.7949,27428.021566,350938.7931348134
1651896000000,2022-05-07 04:00:00,FIL/USD,13.6644,13.9055,12.8212,13.0877,34144.555439,446873.69821900036
1651809600000,2022-05-06 04:00:00,FIL/USD,13.9061,14.0248,13.3748,13.6644,23595.133723,322413.3452445612
1651723200000,2022-05-05 04:00:00,FIL/USD,15.6022,15.695,13.3315,13.9061,105183.76358,1462695.934719838
1651636800000,2022-05-04 04:00:00,FIL/USD,14.7534,15.9279,14.6154,15.6022,47699.676018,744219.8851680396
1651550400000,2022-05-03 04:00:00,FIL/USD,14.7923,15.14,14.2594,14.7534,50222.855574,740957.8774254515
1651464000000,2022-05-02 04:00:00,FIL/USD,15.1042,15.2485,14.153,14.7923,33596.608607,496971.1134973261
1651377600000,2022-05-01 04:00:00,FIL/USD,14.7802,15.647,14.5409,15.1042,31890.28365,481677.22230633005
1651291200000,2022-04-30 04:00:00,FIL/USD,17.2715,18.0144,12.0,14.7802,88666.497727,1310508.5697046053
1651204800000,2022-04-29 04:00:00,FIL/USD,17.8658,17.949,17.0032,17.2715,20592.190075,355658.0108803625
1651118400000,2022-04-28 04:00:00,FIL/USD,17.7649,18.4753,17.5,17.8658,25206.724119,450338.2917652302
1651032000000,2022-04-27 04:00:00,FIL/USD,17.6232,18.0144,17.3938,17.7649,6088.928697,108169.20940933531
1650945600000,2022-04-26 04:00:00,FIL/USD,18.5377,18.6619,17.01,17.6232,13114.990022,231128.09215571042
1650859200000,2022-04-25 04:00:00,FIL/USD,18.5155,18.7383,17.4904,18.5377,23452.870698,434762.2811383146
1650772800000,2022-04-24 04:00:00,FIL/USD,19.0415,19.3696,18.24,18.5155,7831.20499,144998.675992345
1650686400000,2022-04-23 04:00:00,FIL/USD,19.1249,19.54,18.8553,19.0415,13042.326257,248345.4554226655
1650600000000,2022-04-22 04:00:00,FIL/USD,19.0436,19.5,18.7239,19.1249,13772.399972,263395.7722245028
1650513600000,2022-04-21 04:00:00,FIL/USD,20.0034,20.2534,18.5255,19.0436,15166.194213,288818.93611468683
1650427200000,2022-04-20 04:00:00,FIL/USD,20.1572,20.1572,19.8078,20.0034,2431.245006,48633.1663530204
1650340800000,2022-04-19 04:00:00,FIL/USD,19.5564,21.1768,19.4277,20.1572,34803.233219,701535.7326420269
1650254400000,2022-04-18 04:00:00,FIL/USD,19.7988,19.9336,18.4384,19.5564,53941.707762,1054905.6136767769
1650168000000,2022-04-17 04:00:00,FIL/USD,20.9653,21.4172,19.5962,19.7988,22257.232265,440666.49016828195
1650081600000,2022-04-16 04:00:00,FIL/USD,19.0442,22.099,18.8858,20.9653,46250.4247,969654.0289629101
1649995200000,2022-04-15 04:00:00,FIL/USD,19.0906,19.235,18.7511,19.0442,11791.41187,224558.005934654
1649908800000,2022-04-14 04:00:00,FIL/USD,19.5518,19.6183,18.4598,19.0906,18153.004295,346551.74379412696
1649822400000,2022-04-13 04:00:00,FIL/USD,19.3683,19.7597,19.1893,19.5518,9316.940583,182162.9588906994
1649736000000,2022-04-12 04:00:00,FIL/USD,18.4781,19.6908,18.4781,19.3683,43041.88592,833648.1590643361
1649649600000,2022-04-11 04:00:00,FIL/USD,20.5114,20.6542,18.0,18.4781,40868.338363,755169.2431053504
1649563200000,2022-04-10 04:00:00,FIL/USD,21.776,21.8545,20.3244,20.5114,9575.182719,196400.4028224966
1649476800000,2022-04-09 04:00:00,FIL/USD,21.5394,21.8311,21.2515,21.776,9871.631522,214964.648023072
1649390400000,2022-04-08 04:00:00,FIL/USD,22.779,22.905,21.0263,21.5394,43877.451386,945093.9763836084
1649304000000,2022-04-07 04:00:00,FIL/USD,21.9513,22.7988,21.8117,22.779,16277.824007,370792.553055453
1649217600000,2022-04-06 04:00:00,FIL/USD,24.5283,24.5283,21.4529,21.9513,15583.612684,342080.55711028917
1649131200000,2022-04-05 04:00:00,FIL/USD,25.9816,26.5497,23.5214,24.5283,55693.394675,1366064.2926068027
1649044800000,2022-04-04 04:00:00,FIL/USD,25.1947,26.2857,23.7271,25.9816,51317.542827,1333311.8707139832
1648958400000,2022-04-03 04:00:00,FIL/USD,24.1755,25.889,24.1755,25.1947,56607.773709,1426215.8762661424
1648872000000,2022-04-02 04:00:00,FIL/USD,25.835,25.9413,23.6602,24.1755,28947.46668,699819.48072234
1648785600000,2022-04-01 04:00:00,FIL/USD,23.3598,26.7297,23.1511,25.835,53087.430107,1371513.756814345
