https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USD
1654315200000,2022-06-04 04:00:00,MANA/USD,0.95883,0.98993,0.95644,0.96508,39585.09164,38202.7802399312
1654228800000,2022-06-03 04:00:00,MANA/USD,1.02508,1.02508,0.9442,0.95883,67299.606221,64528.88143288142
1654142400000,2022-06-02 04:00:00,MANA/USD,0.9602,1.03817,0.9596,1.02508,392751.992109,402602.2120710937
1654056000000,2022-06-01 04:00:00,MANA/USD,1.03764,1.06779,0.9602,0.9602,541649.799717,520092.13768826344
1653969600000,2022-05-31 04:00:00,MANA/USD,1.11192,1.11628,1.03316,1.03764,332092.5434,344592.506733576
1653883200000,2022-05-30 04:00:00,MANA/USD,1.02155,1.12659,1.01338,1.11192,590227.613085,656285.8875414731
1653796800000,2022-05-29 04:00:00,MANA/USD,0.9297,1.036,0.92658,1.02155,201639.132153,205984.45545089716
1653710400000,2022-05-28 04:00:00,MANA/USD,0.95999,0.967,0.91773,0.9297,59348.429192,55176.2346198024
1653624000000,2022-05-27 04:00:00,MANA/USD,0.95505,0.98299,0.90499,0.95999,196460.947811,188600.54528908187
1653537600000,2022-05-26 04:00:00,MANA/USD,1.08992,1.08992,0.92522,0.95505,144845.824332,138335.0045282766
1653451200000,2022-05-25 04:00:00,MANA/USD,1.04867,1.10634,1.04867,1.08992,18710.474158,20392.91999428736
1653364800000,2022-05-24 04:00:00,MANA/USD,1.04525,1.0565,0.97244,1.04867,911408.229869,955766.4684167242
1653278400000,2022-05-23 04:00:00,MANA/USD,1.1005,1.13191,1.01632,1.04525,305970.458197,319815.62143041426
1653192000000,2022-05-22 04:00:00,MANA/USD,1.09389,1.13666,1.0722,1.1005,180627.698902,198780.78264165102
1653105600000,2022-05-21 04:00:00,MANA/USD,1.07196,1.12126,1.04825,1.09389,175247.02812,191700.97159018682
1653019200000,2022-05-20 04:00:00,MANA/USD,1.1005,1.15477,1.02141,1.07196,600092.814797,643275.4937497922
1652932800000,2022-05-19 04:00:00,MANA/USD,1.03144,1.16143,0.9942,1.1005,554415.267055,610134.0013940275
1652846400000,2022-05-18 04:00:00,MANA/USD,1.16634,1.1847,0.97688,1.03144,513000.535768,529129.2726125459
1652760000000,2022-05-17 04:00:00,MANA/USD,1.22269,1.24526,1.14374,1.16634,532162.874027,620682.8464926512
1652673600000,2022-05-16 04:00:00,MANA/USD,1.24626,1.24976,1.15521,1.22269,285247.320141,348769.0458631993
1652587200000,2022-05-15 04:00:00,MANA/USD,1.25768,1.34153,1.19344,1.24626,860266.090725,1072115.2182269385
1652500800000,2022-05-14 04:00:00,MANA/USD,1.258,1.361,1.08325,1.25768,814276.715623,1024099.5397047347
1652414400000,2022-05-13 04:00:00,MANA/USD,1.11417,1.32,0.96483,1.258,1364229.730747,1716201.0012797262
1652328000000,2022-05-12 04:00:00,MANA/USD,0.7004,1.5,0.6,1.11417,1634695.637938,1821328.8389213816
