https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CRV,Volume USD
1650945600000,2022-04-26 04:00:00,CRV/USD,2.7209,2.748,2.3508,2.4149,197120.755032,476026.9113267767
1650859200000,2022-04-25 04:00:00,CRV/USD,2.6566,2.7718,2.4907,2.7209,51288.120486,139549.8470303574
1650772800000,2022-04-24 04:00:00,CRV/USD,2.6473,2.7745,2.5974,2.6566,50757.466837,134842.2863991742
1650686400000,2022-04-23 04:00:00,CRV/USD,2.5117,2.7403,2.4845,2.6473,138218.306074,365905.3216697002
1650600000000,2022-04-22 04:00:00,CRV/USD,2.2245,2.5869,2.2151,2.5117,187981.896315,472154.12897438544
1650513600000,2022-04-21 04:00:00,CRV/USD,2.3561,2.407,2.1731,2.2245,107363.455339,238830.00640160547
1650427200000,2022-04-20 04:00:00,CRV/USD,2.2975,2.3591,2.2975,2.3561,9308.751364,21932.3490887204
1650340800000,2022-04-19 04:00:00,CRV/USD,2.1758,2.3451,2.1683,2.2975,82666.419561,189926.0989413975
1650254400000,2022-04-18 04:00:00,CRV/USD,2.1505,2.2037,2.0546,2.1758,98907.037059,215201.93123297222
1650168000000,2022-04-17 04:00:00,CRV/USD,2.226,2.3507,2.1231,2.1505,38752.995104,83338.31597115201
1650081600000,2022-04-16 04:00:00,CRV/USD,2.2333,2.2524,2.1933,2.226,21927.756708,48811.186432008
1649995200000,2022-04-15 04:00:00,CRV/USD,2.2597,2.2765,2.1925,2.2333,38088.851803,85063.8327316399
1649908800000,2022-04-14 04:00:00,CRV/USD,2.2953,2.3118,2.2042,2.2597,43736.234432,98830.76894599039
1649822400000,2022-04-13 04:00:00,CRV/USD,2.2302,2.3284,2.2302,2.2953,11904.843761,27325.1878846233
1649736000000,2022-04-12 04:00:00,CRV/USD,2.177,2.2807,2.1609,2.2302,76582.686148,170794.70664726957
1649649600000,2022-04-11 04:00:00,CRV/USD,2.3589,2.3818,2.1431,2.177,97990.101223,213324.45036247102
1649563200000,2022-04-10 04:00:00,CRV/USD,2.4745,2.6008,2.3511,2.3589,43405.554855,102389.36334745951
1649476800000,2022-04-09 04:00:00,CRV/USD,2.3492,2.4966,2.3,2.4745,65564.40502,162239.12022199002
