https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ONE,Volume USDT,tradecount
1653004800000,2022-05-20 00:00:00,ONE/USDT,0.04663000,0.04936000,0.04426000,0.04581000,338384501.30000000,15812554.64261300,97211
1652918400000,2022-05-19 00:00:00,ONE/USDT,0.04317000,0.04765000,0.04221000,0.04662000,320346247.10000000,14383675.02774400,95492
1652832000000,2022-05-18 00:00:00,ONE/USDT,0.04953000,0.05052000,0.04273000,0.04317000,338707219.30000000,15723608.56070700,96753
1652745600000,2022-05-17 00:00:00,ONE/USDT,0.04686000,0.05105000,0.04582000,0.04952000,366458119.90000000,17812738.22902900,118974
1652659200000,2022-05-16 00:00:00,ONE/USDT,0.05345000,0.05347000,0.04613000,0.04687000,398316628.50000000,19209294.20792300,120820
1652572800000,2022-05-15 00:00:00,ONE/USDT,0.04916000,0.05380000,0.04691000,0.05349000,300520687.60000000,14972829.72414300,83595
1652486400000,2022-05-14 00:00:00,ONE/USDT,0.04705000,0.05014000,0.04362000,0.04913000,418209372.40000000,19597060.04244500,124859
1652400000000,2022-05-13 00:00:00,ONE/USDT,0.04038000,0.05350000,0.03932000,0.04706000,814274381.70000000,40001177.17870000,202119
1652313600000,2022-05-12 00:00:00,ONE/USDT,0.04105000,0.04365000,0.03191000,0.04037000,1090568438.70000000,40687900.25950400,225847
1652227200000,2022-05-11 00:00:00,ONE/USDT,0.06354000,0.06687000,0.03337000,0.04101000,1381748699.50000000,68981812.78345800,343105
1652140800000,2022-05-10 00:00:00,ONE/USDT,0.05964000,0.07293000,0.05669000,0.06348000,824336887.10000000,52778880.63460900,277581
1652054400000,2022-05-09 00:00:00,ONE/USDT,0.07149000,0.07400000,0.05763000,0.05965000,531246896.70000000,34476120.84310200,185373
1651968000000,2022-05-08 00:00:00,ONE/USDT,0.07364000,0.07454000,0.07020000,0.07147000,251427831.40000000,18167765.33426800,97963
1651881600000,2022-05-07 00:00:00,ONE/USDT,0.07736000,0.07804000,0.07138000,0.07364000,210797477.90000000,15941685.15336000,88226
1651795200000,2022-05-06 00:00:00,ONE/USDT,0.08107000,0.08151000,0.07471000,0.07737000,308329544.40000000,23996927.04951900,134988
1651708800000,2022-05-05 00:00:00,ONE/USDT,0.08969000,0.09258000,0.07718000,0.08105000,402563779.60000000,34063297.36707400,158238
1651622400000,2022-05-04 00:00:00,ONE/USDT,0.07966000,0.09059000,0.07914000,0.08970000,272521749.60000000,22948567.37377600,115652
1651536000000,2022-05-03 00:00:00,ONE/USDT,0.08129000,0.08463000,0.07862000,0.07967000,204931703.00000000,16762369.21306500,92194
1651449600000,2022-05-02 00:00:00,ONE/USDT,0.08444000,0.08542000,0.07730000,0.08125000,282702476.50000000,23076131.58055900,123296
1651363200000,2022-05-01 00:00:00,ONE/USDT,0.07445000,0.08756000,0.07211000,0.08444000,442678193.10000000,35355408.16940700,186801
1651276800000,2022-04-30 00:00:00,ONE/USDT,0.09008000,0.09155000,0.06953000,0.07445000,395997901.40000000,32657275.46913000,174939
1651190400000,2022-04-29 00:00:00,ONE/USDT,0.09999000,0.10071000,0.08812000,0.09011000,204426925.40000000,19315282.21288800,101778
1651104000000,2022-04-28 00:00:00,ONE/USDT,0.10278000,0.10448000,0.09876000,0.10003000,159520480.30000000,16188980.48895500,76574
1651017600000,2022-04-27 00:00:00,ONE/USDT,0.10052000,0.10472000,0.09906000,0.10277000,130121659.10000000,13272357.39218100,67204
1650931200000,2022-04-26 00:00:00,ONE/USDT,0.10976000,0.11222000,0.09864000,0.10052000,181462872.50000000,19260177.80039900,93087
1650844800000,2022-04-25 00:00:00,ONE/USDT,0.11335000,0.11362000,0.10330000,0.10976000,209722049.00000000,22499332.72756100,111730
1650758400000,2022-04-24 00:00:00,ONE/USDT,0.11566000,0.11690000,0.11255000,0.11340000,67843805.80000000,7789185.18212100,44926
1650672000000,2022-04-23 00:00:00,ONE/USDT,0.11784000,0.11839000,0.11460000,0.11567000,61173419.20000000,7150829.32249200,40229
1650585600000,2022-04-22 00:00:00,ONE/USDT,0.11856000,0.12135000,0.11562000,0.11788000,105333591.30000000,12490678.74404700,64478
1650499200000,2022-04-21 00:00:00,ONE/USDT,0.12405000,0.12725000,0.11633000,0.11856000,172299170.50000000,21318446.44815500,87100
1650412800000,2022-04-20 00:00:00,ONE/USDT,0.12615000,0.13198000,0.12208000,0.12402000,185193692.40000000,23450163.74558000,101138
1650326400000,2022-04-19 00:00:00,ONE/USDT,0.12535000,0.12668000,0.12182000,0.12616000,159266822.80000000,19790206.16772800,76805
1650240000000,2022-04-18 00:00:00,ONE/USDT,0.11636000,0.12599000,0.11147000,0.12534000,165842356.20000000,19693109.05597800,86971
1650153600000,2022-04-17 00:00:00,ONE/USDT,0.12143000,0.12259000,0.11566000,0.11638000,71999952.30000000,8662441.29855700,34285
1650067200000,2022-04-16 00:00:00,ONE/USDT,0.12257000,0.12367000,0.12000000,0.12136000,57154573.30000000,6968369.51225200,30020
1649980800000,2022-04-15 00:00:00,ONE/USDT,0.12133000,0.12349000,0.11912000,0.12255000,86109771.50000000,10477422.14041700,42323
1649894400000,2022-04-14 00:00:00,ONE/USDT,0.12309000,0.12618000,0.11783000,0.12132000,155190240.50000000,19059793.44886800,71442
1649808000000,2022-04-13 00:00:00,ONE/USDT,0.12081000,0.12391000,0.11678000,0.12304000,145285840.90000000,17544996.10402600,64702
1649721600000,2022-04-12 00:00:00,ONE/USDT,0.11571000,0.12266000,0.11321000,0.12078000,209112429.60000000,24780569.56250100,96378
1649635200000,2022-04-11 00:00:00,ONE/USDT,0.12674000,0.12773000,0.11283000,0.11572000,257453548.10000000,31086769.97490800,124387
1649548800000,2022-04-10 00:00:00,ONE/USDT,0.13200000,0.13397000,0.12613000,0.12679000,127901529.60000000,16677408.24096800,61550
1649462400000,2022-04-09 00:00:00,ONE/USDT,0.12694000,0.13214000,0.12664000,0.13199000,142699473.10000000,18461751.39045200,69627
1649376000000,2022-04-08 00:00:00,ONE/USDT,0.13931000,0.14197000,0.12543000,0.12697000,240263170.10000000,32418076.73599000,119722
1649289600000,2022-04-07 00:00:00,ONE/USDT,0.13469000,0.14207000,0.13200000,0.13938000,220992470.40000000,30426219.59528100,128757
1649203200000,2022-04-06 00:00:00,ONE/USDT,0.15270000,0.15383000,0.13394000,0.13469000,303714550.50000000,43797266.40561900,174786
1649116800000,2022-04-05 00:00:00,ONE/USDT,0.16132000,0.16610000,0.15119000,0.15267000,214576140.00000000,34420502.35178200,117437
1649030400000,2022-04-04 00:00:00,ONE/USDT,0.16914000,0.16926000,0.15113000,0.16132000,285700343.90000000,46196557.68012100,147575
1648944000000,2022-04-03 00:00:00,ONE/USDT,0.16152000,0.17151000,0.16000000,0.16913000,165940811.70000000,27639728.14745000,98106
1648857600000,2022-04-02 00:00:00,ONE/USDT,0.16752000,0.17684000,0.15950000,0.16152000,302823555.10000000,51498800.25827000,178950
1648771200000,2022-04-01 00:00:00,ONE/USDT,0.16108000,0.17067000,0.15509000,0.16745000,356416435.00000000,58135697.09504800,207382
1648684800000,2022-03-31 00:00:00,ONE/USDT,0.16433000,0.18000000,0.15759000,0.16101000,470679585.70000000,79232488.84708000,277173
1648598400000,2022-03-30 00:00:00,ONE/USDT,0.16021000,0.17510000,0.15337000,0.16436000,363190302.50000000,60109174.38232800,203930
1648512000000,2022-03-29 00:00:00,ONE/USDT,0.15636000,0.16900000,0.15493000,0.16025000,262532550.90000000,42542985.96031800,159826
1648425600000,2022-03-28 00:00:00,ONE/USDT,0.16210000,0.17143000,0.15200000,0.15632000,292145997.20000000,48062239.12902800,170560
1648339200000,2022-03-27 00:00:00,ONE/USDT,0.15059000,0.16296000,0.14833000,0.16216000,229972246.80000000,35634262.24596300,115272
1648252800000,2022-03-26 00:00:00,ONE/USDT,0.14423000,0.15184000,0.14280000,0.15061000,119766764.30000000,17634181.35279000,63209
1648166400000,2022-03-25 00:00:00,ONE/USDT,0.15107000,0.15544000,0.14191000,0.14419000,184580934.30000000,27576637.85541300,97443
1648080000000,2022-03-24 00:00:00,ONE/USDT,0.14998000,0.15440000,0.14708000,0.15103000,253230469.70000000,38294722.99086100,133469
1647993600000,2022-03-23 00:00:00,ONE/USDT,0.14218000,0.15013000,0.13938000,0.14995000,157245312.50000000,22693872.48969700,81080
1647907200000,2022-03-22 00:00:00,ONE/USDT,0.13641000,0.14698000,0.13513000,0.14213000,188735926.50000000,26896319.91474400,92229
1647820800000,2022-03-21 00:00:00,ONE/USDT,0.13310000,0.14077000,0.12961000,0.13641000,159585182.90000000,21701015.62036500,75183
1647734400000,2022-03-20 00:00:00,ONE/USDT,0.14029000,0.14390000,0.13083000,0.13310000,167986211.50000000,22971322.42753800,86632
1647648000000,2022-03-19 00:00:00,ONE/USDT,0.13231000,0.14393000,0.13231000,0.14033000,163598923.60000000,22564862.66896600,82831
1647561600000,2022-03-18 00:00:00,ONE/USDT,0.12925000,0.13412000,0.12523000,0.13230000,123159570.40000000,15890854.36315500,58971
1647475200000,2022-03-17 00:00:00,ONE/USDT,0.13284000,0.13389000,0.12907000,0.12928000,119437184.10000000,15670721.40071300,59361
1647388800000,2022-03-16 00:00:00,ONE/USDT,0.12403000,0.13284000,0.12164000,0.13280000,215484590.60000000,27194468.84572400,88729
1647302400000,2022-03-15 00:00:00,ONE/USDT,0.12570000,0.12653000,0.11938000,0.12407000,150232941.30000000,18484192.56453400,65266
1647216000000,2022-03-14 00:00:00,ONE/USDT,0.11977000,0.12640000,0.11865000,0.12569000,142773513.40000000,17612196.74866700,63692
1647129600000,2022-03-13 00:00:00,ONE/USDT,0.12455000,0.12712000,0.11786000,0.11976000,115259986.30000000,14301876.57115500,52575
1647043200000,2022-03-12 00:00:00,ONE/USDT,0.12427000,0.12769000,0.12406000,0.12453000,89336650.20000000,11237130.66353400,42225
1646956800000,2022-03-11 00:00:00,ONE/USDT,0.12607000,0.12948000,0.12176000,0.12430000,157794466.10000000,19809037.57563500,78407
1646870400000,2022-03-10 00:00:00,ONE/USDT,0.13531000,0.13641000,0.12401000,0.12608000,180588023.40000000,23078587.12221300,85022
1646784000000,2022-03-09 00:00:00,ONE/USDT,0.12905000,0.14246000,0.12885000,0.13530000,238825514.70000000,32836297.04504500,96378
1646697600000,2022-03-08 00:00:00,ONE/USDT,0.12686000,0.13300000,0.12060000,0.12905000,178014059.20000000,23088138.86263500,75788
1646611200000,2022-03-07 00:00:00,ONE/USDT,0.12798000,0.13499000,0.12322000,0.12679000,285348796.70000000,36816347.91559000,108584
